wd_id,line_id,linewd,dipl,word,phon,phon_map,syllabified,etym_map,origin,wd_div,lang,textlineid,syntag,syntag2,lemma,lemma_src,lemma_dmf,pos,pos_syn,morph,ref,tei_left,tei_right
166,25,5,uolat,volat,vOlað,v.o.l.a.t,v/O\.'l/a\ð,w.o$.l.a'·w.t,,_,fro,25,Vfin,Vfin,voler,DMF,voler,VERcjg,VERcjg,indpsp3,"Eulalie, l. 25",,
10,3,1,U_oldrent,voldrent,vɔLdrəNT,v.o.l.d.r.e.n.t,'v/ɔ\L.dr/ə\NT,,,_,fro,3,Vfin,Vfin,vouloir,DMF,vouloir,VERcjg,VERcjg,indpsp6,"Eulalie, l. 3",<lb/><lg type=&quot;couplet&quot;><l n=&quot;3&quot;>,
16,4,1,Uoldrent,voldrent,vɔLdrəNT,v.o.l.d.r.e.n.t,'v/ɔ\L.dr/ə\NT,,,_,fro,4,Vfin,Vfin,vouloir,DMF,vouloir,VERcjg,VERcjg,indpsp6,"Eulalie, l. 4",<l n=&quot;4&quot;>,
136,21,5,uoldret,voldret,vɔLdrəð,v.o.l.d.r.e.t,'v/ɔ\L.dr/ə\ð,,,_,fro,21,Vfin,Vfin,vouloir,DMF,vouloir,VERcjg,VERcjg,indpqp3,"Eulalie, l. 21",,
155,24,1,Uolt,volt,vɔLT,v.o.l.t,v/ɔ\LT,,,_,fro,24,Vfin,Vfin,vouloir,DMF,vouloir,VERcjg,VERcjg,indpsp3,"Eulalie, l. 24",<l n=&quot;24&quot;>,
137,21,6,concreidre,concreidre,kONkrEiðrə,c.o.n.c.r.e.i.d.r.e,k/O\N.'kr/E\i.ðr/(ə)\,,,_,fro,21,Vinf,Vinf,concroire,DMF,concroire,VERinf,VERinf,,"Eulalie, l. 21",,
18,4,3,faire,faire,fAirə,f.a.i.r.e,'f/A\i.r/(ə)\,,,_,fro,4,Vinf,Vinf,faire,DMF,faire,VERinf,VERinf,,"Eulalie, l. 4",,
158,24,4,lazsier,lazsier,LASʦier,l.a.z.s.i.e.r,L/A\S.'ʦ/ie\r,"l.a.ks,.a'$,.r·V$",,_,fro,24,Vinf,Vinf,laisser,DMF,laisser,VERinf,VERinf,,"Eulalie, l. 24",,
55,9,7,pleier,pleier,pLEiEr,p.l.e.i.e.r,pL/E\.'/iE\r,"p.l.e$·k.a'$,..r·V$",,.,fro,9,Vinf,Vinf,plier,DMF,plier,VERinf,VERinf,,"Eulalie, l. 9",,</l>
175,26,7,preier,preier,prEiEr,p.r.e.i.e.r,pr/E\.'/iE\r,"p.r.e$·c.a'$,.r·V$",,|,fro,26,Vinf,Vinf,prier,DMF,prier,VERinf,VERinf,,"Eulalie, l. 26",,</l></lg>
20,4,5,seruir,servir,SErvir,s.e.r.v.i.r,S/E\r.'v/i\r,s.ɛ.r.w.i'$.r·V$,,.|,fro,4,Vinf,Vinf,servir,DMF,servir,VERinf,VERinf,,"Eulalie, l. 4",,</l></lg>
146,22,6,tolir,tolir,tOlir,t.o.l.i.r,t/O\.'l/i\r,,,_,fro,22,Vinf,Vinf,tolir,DMF,tolir,VERinf,VERinf,,"Eulalie, l. 22",,
12,3,3,ueintre,veintre,vEiNtrə,v.e.i.n.t.r.e,'v/E\iN.tr/(ə)\,"v.e'.nk·E,,..r.e$",,_,fro,3,Vinf,Vinf,vaincre,DMF,vaincre,VERinf,VERinf,,"Eulalie, l. 3",,
190,28,9,uenir,venir,vEnir,v.e.n.i.r,v/E\.'n/i\r,w.ɛ$.n.i'$.r·V$,,|,fro,28,Vinf,Vinf,venir,DMF,venir,VERinf,VERinf,,"Eulalie, l. 28",,</l></lg>
110,18,5,morte,morte,mɔrtə,m.o.r.t.e,'m/ɔ\r.t/(ə)\,m.ɔ'.r.t.a$,,_,fro,18,Vpp,Vpp,mourir,DMF,mourir,VERppe,VERppe,sfn,"Eulalie, l. 18",,
68,11,5,p[re]sentede,presentede,prEzENtæðə,p.r.e.s.e.n.t.e.d.e,pr/E\.z/E\N.'t/æ\.ð/(ə)\,,,_,fro,11,Vpp,Vpp,présenter,DMF,présenter,VERppe,VERppe,sfn,"Eulalie, l. 11",,
