wd_id,line_id,line_wd,dipl,word,wd_div,phon,phon_map,syllabified,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,ref,phil_note,tei_right,tei_left
179,50,2,uentris,ventris,–,QVNQRVQ,v.e.n.t.r.i.s,'Q/V\N.QR/V\Q,lat,ETR,ETR,,---,---,,"CantAnn, l. 50",,,
180,50,3,sarcina,sarcina,_,QVRQVNV,s.a.r.c.i.n.a,'Q/V\R.Q/V\.'N/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 50",,</l>,
181,51,1,mun–|di,mundi,_,NVNQV,m.u.n.d.i,'N/V\N.Q/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 51",,<lb/>,<l n=&quot;51&quot;>
182,51,2,luit,luit,–,LVVQ,l.u.i.t,'L/V\./V\Q,lat,ETR,ETR,,---,---,,"CantAnn, l. 51",,,
183,51,3,crimi_na,crimina,–,QRVNVNV,c.r.i.m.i.n.a,'QR/V\.N/V\.'N/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 51",,</l>,
184,52,1,e,e,_,V,e,/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 52",,<supplied reason=&quot;missing&quot;>virgine maria</supplied></l></lg>,<l n=&quot;52&quot;>
185,53,1,Cum,cum,_,kOm,c.u.m,,pro,CONsub,CONsub,,cóm,DOM,,"CantAnn, l. 53",,,<lg n=&quot;14&quot; type=&quot;stanza&quot; rhyme=&quot;aaab&quot; met=&quot;heptasyllable&quot;><l n=&quot;53&quot;>
186,53,2,la,la,+,LA,l.a,,pro,DETdef,DETdef,sfn,la,DOM,,"CantAnn, l. 53",,,
187,53,3,rei_na,reina,–,rEinA,r.e.i.n.a,,pro,NOMcom,NOMcom,sfn,regina,DOM,,"CantAnn, l. 53",,,
188,53,4,l,l,+,L,l,,pro,PRCper,PRCper,3sma,lo3,DOM,,"CantAnn, l. 53",,,
189,53,5,auuit,auvit,–,AuviT,a.u.v.i.t,,pro,VERcjg,VERcjg,indpsp3,auzir,DOM,,"CantAnn, l. 53",,</l>,
190,54,1,si,si,+,Si,s.i,,pro,ADVgen,ADVgen,,si2,DOM,,"CantAnn, l. 54",,,<l n=&quot;54&quot;>
191,54,2,l,l,+,L,l,,pro,PRCper,PRCper,3sma,lo3,DOM,,"CantAnn, l. 54",,,
192,54,3,amet,amet,–,AmɛT,a.m.e.t,,pro,VERcjg,VERcjg,indpsp3,amar,DOM,,"CantAnn, l. 54",,,
193,54,4,e,e,+,E,e,,pro,CONcon,CONcon,,e,DOM,,"CantAnn, l. 54",,,
194,54,5,si,si,+,Si,s.i,,pro,ADVgen,ADVgen,,si2,DOM,,"CantAnn, l. 54",,,
195,54,6,u,u,–|,u,u,,pro,PRCper,PRCper,3sma,lo3,DOM,,"CantAnn, l. 54",,<lb/>,
196,54,7,i_auuit,jauvit,–,ʤAuviT,j.a.u.v.i.t,,pro,VERcjg,VERcjg,indpsp3,jauzir,DOM,,"CantAnn, l. 54",,</l>,
197,55,1,aco,aco,_,Akɔ,a.c.o,,pro,PRNdem,PRNdem,snn,aco,DOM,,"CantAnn, l. 55",,,<l n=&quot;55&quot;>
198,55,2,sia,sia,–,SiA,s.i.a,,pro,VERcjg,VERcjg,subpst3,èser,DOM,,"CantAnn, l. 55",,,
199,55,3,a,a,+,A,a,,pro,PRE,PRE,,a2,DOM,,"CantAnn, l. 55",,,
200,55,4,u,u,+,u,u,,pro,DETdef,DETdef,smr,lo2,DOM,,"CantAnn, l. 55",,,
201,55,5,so,so,–,So,s.o,,pro,ADJpos,ADJpos,3smr,sóN2,DOM,,"CantAnn, l. 55",,,
202,55,6,chausit,chausit,_,ċAuziT,ch.a.u.s.i.t,,pro,NOMcom,NOMcom,smr,cauzit,DOM,,"CantAnn, l. 55",,</l>,
203,56,1,In,in,+,VN,i.n,/V\N,lat,ETR,ETR,,---,---,,"CantAnn, l. 56",,,<l xml:lang=&quot;lat&quot; n=&quot;56&quot;>
204,56,2,te,te,_,QV,t.e,Q/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 56",,<supplied reason=&quot;missing&quot;>virgo maria</supplied></l></lg>,
205,57,1,Illi,illi,_,VLLV,i.l.l.i,'/V\L.L/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 57",,,<lg xml:lang=&quot;lat&quot; n=&quot;15&quot; type=&quot;stanza&quot; rhyme=&quot;aaab&quot; met=&quot;heptasyllable&quot;><l n=&quot;57&quot;>
206,57,2,laus,laus,–,LVQ,l.au.s,L/V\Q,lat,ETR,ETR,,---,---,,"CantAnn, l. 57",,,
207,57,3,[et],et,+,VQ,e.t,/V\Q,lat,ETR,ETR,,---,---,,"CantAnn, l. 57",,,
208,57,4,gloria,gloria,–,QLVRVV,g.l.o.r.i.a,'QL/V\.R/V\.'/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 57",,</l>,
209,58,1,honor,honor,_,QVNVR,h.o.n.o.r,'Q/V\.N/V\R,lat,ETR,ETR,,---,---,,"CantAnn, l. 58",,,<l n=&quot;58&quot;>
210,58,2,uir–|tus,virtus,–,QVRQVQ,v.i.r.t.u.s,'Q/V\R.Q/V\Q,lat,ETR,ETR,,---,---,,"CantAnn, l. 58",,<lb/>,
211,58,3,gratia,gratia,–,QRVQVV,g.r.a.t.i.a,'QR/V\.Q/V\.'/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 58",,</l>,
212,59,1,decus,decus,–,QVQVQ,d.e.c.u.s,'Q/V\.Q/V\Q,lat,ETR,ETR,,---,---,,"CantAnn, l. 59",,,<l n=&quot;59&quot;>
213,59,2,[et],et,+,VQ,e.t,/V\Q,lat,ETR,ETR,,---,---,,"CantAnn, l. 59",,,
214,59,3,uictoria,victoria,–,QVQQVRVV,v.i.c.t.o.r.i.a,Q/V\Q.'Q/V\.R/V\.'/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 59",,</l>,
215,60,1,e,e,_,V,e,/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 60",,<supplied reason=&quot;missing&quot;>virgine maria</supplied></l></lg>,<l n=&quot;60&quot;>
216,61,1,Tv,tu,_,ty,t.u,,pro,PRNper,PRNper,2smn,tu,DOM,,"CantAnn, l. 61",,,<lg n=&quot;16&quot; type=&quot;stanza&quot; rhyme=&quot;aaab&quot; met=&quot;heptasyllable&quot;><l n=&quot;61&quot;><q>
217,61,2,es,es,_,ES,e.s,,pro,VERcjg,VERcjg,indpst2,èser,DOM,,"CantAnn, l. 61",,,
218,61,3,mesat_ies,mesatjes,–,mEsATʤES,m.e.s.a.t.j.e.s,,pro,NOMcom,NOMcom,smn,mesatge,DOM,,"CantAnn, l. 61",,,
219,61,4,a,a,+,A,a,,pro,PRE,PRE,,a2,DOM,,"CantAnn, l. 61",,,
220,61,5,l,l,+,L,l,,pro,DETdef,DETdef,smr,lo2,DOM,,"CantAnn, l. 61",,,
221,61,6,rei,rei,–,rei,r.e.i,,pro,NOMcom,NOMcom,smr,réi,DOM,,"CantAnn, l. 61",,</q></l>,
222,62,1,si,si,–|,Si,s.i,,pro,ADVgen,ADVgen,,si2,DOM,,"CantAnn, l. 62",,<lb/>,<l n=&quot;62&quot;><q>
223,62,2,cum,cum,–,kOm,c.u.m,,pro,CONsub,CONsub,,cóm,DOM,,"CantAnn, l. 62",,,<pb n=&quot;49r&quot; facs=&quot;https://gallica.bnf.fr/ark:/12148/btv1b6000946s/f105.item&quot;/>
224,62,3,tu,tu,_,ty,t.u,,pro,PRNper,PRNper,2smn,tu,DOM,,"CantAnn, l. 62",,,
225,62,4,o,o,_,O,o,,pro,PRCdem,PRCdem,snr,ó2,DOM,,"CantAnn, l. 62",,,
226,62,5,dit,dit,–,diT,d.i.t,,pro,VERcjg,VERcjg,indpst2,dire,DOM,,"CantAnn, l. 62",,,
227,62,6,o,o,+,O,o,,pro,PRCdem,PRCdem,snr,ó2,DOM,,"CantAnn, l. 62",,,
228,62,7,crei,crei,–,krei,c.r.e.i,,pro,VERcjg,VERcjg,indpst1,créire,DOM,,"CantAnn, l. 62",,</q></l>,
229,63,1,a,a,+,A,a,,pro,PRE,PRE,,a2,DOM,,"CantAnn, l. 63",,,<l n=&quot;63&quot;><q>
230,63,2,lui,lui,–,Lyi,l.u.i,,pro,PRNper,PRNper,3smr,lui,DOM,,"CantAnn, l. 63",,,
231,63,3,me,me,+,mE,m.e,,pro,PRCper,PRCper,1smr,me,DOM,,"CantAnn, l. 63",,,
232,63,4,do,do,–,do,d.o,,pro,VERcjg,VERcjg,indpst1,donar,DOM,,"CantAnn, l. 63",,,
233,63,5,e,e,+,E,e,,pro,CONcoo,CONcoo,,e,DOM,,"CantAnn, l. 63",,,
234,63,6,m,m,+,m,m,,pro,PRCper,PRCper,1smr,me,DOM,,"CantAnn, l. 63",,,
235,63,7,autrei,autrei,_,Autrei,a.u.t.r.e.i,,pro,VERcjg,VERcjg,indpst1,autrejar,DOM,,"CantAnn, l. 63",,</q></l>,
