wd_id,line_id,line_wd,dipl,word,phon,phon_map,syllabified,wd_div,lang,pos,morph,lemma,lemma_src,lemma_dmf,ref,tei_right,tei_left
87,5,19,Ki,ki,ki,k.i,k/i\,_,fro,PRNrel,smn,qui,DMF,qui,"AlexisProl, f. 29r, l. 8",,
88,5,20,est,est,EST,e.s.t,/E\ST,_,fro,VERcjg,indpst3,être,DMF,être,"AlexisProl, f. 29r, l. 8",,
89,5,21,un,un,yN,u.n,/y\N,+,fro,DETcar,smr,un,DMF,un,"AlexisProl, f. 29r, l. 8",,
90,5,22,sul,sul,SuL,s.u.l,S/u\L,_,fro,ADJind,smr,seul,DMF,seul,"AlexisProl, f. 29r, l. 8",,
91,5,23,faitur,faitur,fAitur,f.a.i.t.u.r,f/A\i.'t/u\r,_,fro,NOMcom,smr,faiteur,DMF,faiteur,"AlexisProl, f. 29r, l. 8",,
92,5,24,e,e,e,e,/e\,_,fro,CONcoo,---,et,DMF,et,"AlexisProl, f. 29r, l. 8",,
93,5,25,regnet,regnet,rEɲəð,r.e.gn.e.t,'r/E\.ɲ/ə\ð,|,fro,VERcjg,indpst3,régner,DMF,régner,"AlexisProl, f. 29r, l. 8",,
94,5,26,an,an,ÆN,a.n,/Æ\N,_,fro,PRE,---,en,DMF,en,"AlexisProl, f. 29r, l. 9",,<lb n=&quot;9&quot;/>
95,5,27,trinitiet,trinitiet,trinitiEð,t.r.i.n.i.t.i.e.t,tr/i\.n/i\.'t/iE\ð,.,fro,NOMcom,sfr,trinité,DMF,trinité,"AlexisProl, f. 29r, l. 9",</s>,
96,6,1,Icesta,icesta,iʦeStə,i.c.e.s.t.a,/i\.'ʦ/e\S.t/ə\,_,fro,DETdef,sfn,cist,DMF,cist,"AlexisProl, f. 29r, l. 9",,<s>
97,6,2,istorie,istorie,iStɔriə,i.s.t.o.r.i.e,/i\S.'t/ɔ\.ri/ə\,_,fro,NOMcom,sfn,histoire,DMF,histoire,"AlexisProl, f. 29r, l. 9",,
98,6,3,est,est,EST,e.s.t,/E\ST,_,fro,VERcjg,indpst3,être,DMF,être,"AlexisProl, f. 29r, l. 9",,
99,6,4,amiable,amiable,AmiabLə,a.m.i.a.b.l.e,/A\.m/i\.'/a\.bL/ə\,_,fro,ADJqua,sfn,amiable,DMF,amiable,"AlexisProl, f. 29r, l. 9",,
100,6,5,grace,grace,graʦə,g.r.a.c.e,'gr/a\.ʦ/ə\,_,fro,NOMcom,sfn,grâce,DMF,grâce,"AlexisProl, f. 29r, l. 9",,
101,6,6,e,e,e,e,/e\,+,fro,CONcoo,---,et,DMF,et,"AlexisProl, f. 29r, l. 9",,
102,6,7,suuerain,suverain,suvErAin,s.u.v.e.r.a.i.n,s/u\.v/E\.'r/A\in,|,fro,ADJqua,sfn,souverain,DMF,souverain,"AlexisProl, f. 29r, l. 9",,
103,6,8,consulaciun,consulaciun,kONSuLAʦiOn,c.o.n.s.u.l.a.c.i.u.n,k/O\N.S/u\.L/A\.ʦ/i\.'/O\n,_,fro,NOMcom,sfn,consolation,DMF,consolation,"AlexisProl, f. 29r, l. 10",,<lb n=&quot;10&quot;/>
104,6,9,a,a,a,a,/a\,+,fro,PRE,---,à,DMF,à,"AlexisProl, f. 29r, l. 10",,
105,6,10,cascun,cascun,ċASkyn,c.a.s.c.u.n,ċ/A\S.'k/y\n,_,fro,DETind,sfr,chacun,DMF,chacun,"AlexisProl, f. 29r, l. 10",,
106,6,11,memorie,memorie,mEmɔriə,m.e.m.o.r.i.e,m/E\.'m/ɔ\.ri/ə\,_,fro,NOMcom,sfr,mémoire,DMF,mémoire,"AlexisProl, f. 29r, l. 10",,
107,6,12,spiritel,spiritel,SpiritæL,s.p.i.r.i.t.e.l,Sp/i\.r/i\.'t/æ\L,.,fro,ADJqua,sfr,spirituel,DMF,spirituel,"AlexisProl, f. 29r, l. 10",,
108,6,13,les,les,LES,l.e.s,L/E\S,_,fro,DETdef,pmr,le,DMF,le,"AlexisProl, f. 29r, l. 10",,
109,6,14,quels,quels,kæLS,q.u.e.l.s,k/æ\LS,_,fro,PRNrel,pmr,quel,DMF,quel,"AlexisProl, f. 29r, l. 10",,
110,6,15,uiuent,vivent,vivəNT,v.i.v.e.n.t,'v/i\.v/ə\NT,|,fro,VERcjg,indpst6,vivre,DMF,vivre,"AlexisProl, f. 29r, l. 10",,
111,6,16,purement,purement,pyrəmENT,p.u.r.e.m.e.n.t,p/y\.r/E\.'m/E\NT,_,fro,ADVgen,---,purement,DMF,purement,"AlexisProl, f. 29r, l. 11",,<lb n=&quot;11&quot;/>
112,6,17,sulunc,sulunc,SuLONK,s.u.l.u.n.c,S/u\.'L/O\NK,_,fro,PRE,---,selon,DMF,selon,"AlexisProl, f. 29r, l. 11",,
113,6,18,castethet,castethet,ċAStEðæð,c.a.s.t.e.th.e.t,ċ/A\S.t/E\.'ð/æ\ð,.,fro,NOMcom,sfr,chasté,DMF,chasté,"AlexisProl, f. 29r, l. 11",,
114,6,19,e,e,e,e,/e\,_,fro,CONcoo,---,et,DMF,et,"AlexisProl, f. 29r, l. 11",,
115,6,20,dignement,dignement,diɲəmENT,d.i.gn.e.m.e.n.t,d/i\.ɲ/E\.'m/E\NT,_,fro,ADVgen,---,dignement,DMF,dignement,"AlexisProl, f. 29r, l. 11",,
116,6,21,sei,sei,SEi,s.e.i,S/E\i,_,fro,PRCper,6pfr,soi,DMF,soi,"AlexisProl, f. 29r, l. 11",,
117,6,22,delitent,delitent,dELitəNT,d.e.l.i.t.e.n.t,d/E\.'L/i\.t/ə\NT,|,fro,VERcjg,indpst6,déliter,DMF,déliter,"AlexisProl, f. 29r, l. 11",,
118,6,23,e,e,E,e,/E\,+,fro,PRE,---,en,DMF,en,"AlexisProl, f. 29r, l. 12",,<lb n=&quot;12&quot;/>
119,6,24,s,s,S,s,/\S,+,fro,DETdef,pfr,le,DMF,le,"AlexisProl, f. 29r, l. 12",,
120,6,25,goies,goies,ġɔiəS,g.o.i.e.s,'ġ/ɔ\i./ə\S,_,fro,NOMcom,pfr,joie,DMF,joie,"AlexisProl, f. 29r, l. 12",,
121,6,26,de,de,dE,d.e,d/E\,+,fro,PRE,---,de,DMF,de,"AlexisProl, f. 29r, l. 12",,
122,6,27,l,l,L,l,/\S,_,fro,DETdef,smr,le,DMF,le,"AlexisProl, f. 29r, l. 12",,
123,6,28,ciel,ciel,ÇiEL,c.i.e.l,Ç/iE\L,_,fro,NOMcom,smr,ciel,DMF,ciel,"AlexisProl, f. 29r, l. 12",,
124,6,29,[et],et,eð,e.t,/e\ð,_,fro,CONcoo,---,et,DMF,et,"AlexisProl, f. 29r, l. 12",,
125,6,30,e,e,E,e,/E\,+,fro,PRE,---,en,DMF,en,"AlexisProl, f. 29r, l. 12",,
126,6,31,s,s,S,s,/\S,_,fro,DETdef,pfr,le,DMF,le,"AlexisProl, f. 29r, l. 12",,
127,6,32,noces,noces,nuʦəS,n.o.c.e.s,'n/u\.ʦ/ə\S,_,fro,NOMcom,pfr,noce,DMF,noce,"AlexisProl, f. 29r, l. 12",,
128,6,33,uirginels,virginels,virʤinæLS,v.i.r.g.i.n.e.l.s,v/i\r.ʤ/i\.'n/æ\LS,.,fro,ADJqua,pfr,virginal,DMF,virginal,"AlexisProl, f. 29r, l. 12",</s></p></body></text>,
