wd_id,line_id,line_wd,dipl,word,wd_div,phon,phon_map,syllabified,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,ref,phil_note,tei_right,tei_left
11,4,1,De,de,_,QV,d.e,Q/V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 4",,,<l n=&quot;4&quot;>
12,4,2,uirgine,virgine,–,QVRQVNV,v.i.r.g.i.n.e,'Q/V\R.Q/V\.'N/V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 4",,,
13,4,3,maria,maria,–,NVRVV,m.a.r.i.a,N/V\.'R/V\./V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 4",,</l></lg>,
14,5,1,Mei,mei,_,mɛi,m.e.i,m/ɛ\i,pro,DETpos,DETpos,1pmn,mei2,DOM,,"PrVierge2, l. 5",,,<lg n=&quot;2&quot; type=&quot;stanza&quot; rhyme=&quot;aaab&quot; met=&quot;heptasyllable&quot;><l n=&quot;5&quot;>
15,5,2,amic,amic,–,AmiK,a.m.i.c,/A\.'m/i\K,pro,NOMcom,NOMcom,pmn,amic,DOM,,"PrVierge2, l. 5",,,
16,5,3,e,e,+,E,e,/E\,pro,CONcoo,CONcoo,,e,DOM,,"PrVierge2, l. 5",,,
17,5,4,mei,mei,–,mɛi,m.e.i,m/ɛ\i,pro,DETpos,DETpos,1pmn,mei2,DOM,,"PrVierge2, l. 5",,,
18,5,5,fiel,fiel,–,fiɛl,f.i.e.l,f/i\.'/ɛ\l,pro,ADJqua,NOMcom,pmn,fezèl,DOM,,"PrVierge2, l. 5",,</l>,
19,6,1,laisat,laisat,–,LAisAT,l.a.i.s.a.t,L/A\i.'s/A\T,pro,VERcjg,VERcjg,imp---5,laisar,DOM,,"PrVierge2, l. 6",,,<l n=&quot;6&quot;>
20,6,2,estar,estar,–,EStAr,e.s.t.a.r,/E\S.'t/A\r,pro,VERinf,VERinf,,estar,DOM,,"PrVierge2, l. 6",,,
21,6,3,lo,lo,_,LO,l.o,L/(O)\,pro,DETdef,DETdef,smr,lo2,DOM,,"PrVierge2, l. 6",,,
22,6,4,ga_zel,gazel,–|,gAzɛl,g.a.z.e.l,g/A\.'z/ɛ\l,pro,NOMcom,NOMcom,smr,gazèl,DOM,,"PrVierge2, l. 6",lemma_SponsT:236,</l><lb/>,
23,7,1,aprendet,aprendet,–,AprENdɛT,a.p.r.e.n.d.e.t,/A\.pr/E\N.'d/ɛ\T,pro,VERcjg,VERcjg,imp---5,apréndre,DOM,,"PrVierge2, l. 7",,,<l n=&quot;7&quot;>
24,7,2,u,u,+,y,u,/y\,pro,DETndf,DETndf,smr,uN,DOM,,"PrVierge2, l. 7",,,
25,7,3,so,so,_,So,s.o,S/o\,pro,NOMcom,NOMcom,smr,sóN,DOM,,"PrVierge2, l. 7",,,
26,7,4,noel,noel,–,nOɛl,n.o.e.l,n/O\.'/ɛ\l,pro,ADJqua,ADJqua,smr,novèl,DOM,,"PrVierge2, l. 7",,</l>,
27,8,1,De,de,+,QV,d.e,Q/V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 8",,,<l xml:lang=&quot;lat&quot; n=&quot;8&quot;>
28,8,2,uir[=uirgine],virgine,_,QVRQVNV,v.i.r.g.i.n.e,'Q/V\R.Q/V\.'N/V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 8",,<supplied reason=&quot;missing&quot;>maria</supplied></l></lg>,
29,9,1,Fons,fons,_,QVNQ,f.o.n.s,Q/V\NQ,lat,ETR,ETR,,---,---,,"PrVierge2, l. 9",,,<lg xml:lang=&quot;lat&quot; n=&quot;3&quot; type=&quot;stanza&quot; rhyme=&quot;aaab&quot; met=&quot;heptasyllable&quot;><l n=&quot;9&quot;>
30,9,2,de,de,+,QV,d.e,Q/V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 9",,,
31,9,3,suo,suo,–,QVV,s.u.o,'Q/V\./V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 9",,,
32,9,4,riuulo,rivulo,–,RVQVLV,r.i.v.u.l.o,'R/V\.Q/V\.'L/V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 9",,</l>,
33,10,1,nascitur,nascitur,–,NVQQVQVR,n.a.s.c.i.t.u.r,'N/V\Q.Q/V\.'Q/V\R,lat,ETR,ETR,,---,---,,"PrVierge2, l. 10",,,<l n=&quot;10&quot;>
34,10,2,p[ro],pro,_,QRV,p.r.o,QR/V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 10",,,
35,10,3,po–|pulo,populo,–,QVQVLV,p.o.p.u.l.o,'Q/V\.Q/V\.'L/V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 10",,</l><lb/>,
36,11,1,necto,necto,–,NVQQV,n.e.c.t.o,'N/V\Q.Q/V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 11",,,<l n=&quot;11&quot;>
37,11,2,mortis,mortis,–,NVRQVQ,m.o.r.t.i.s,'N/V\R.Q/V\Q,lat,ETR,ETR,,---,---,,"PrVierge2, l. 11",,,
38,11,3,uinc[u]lo,vinculo,_,QVNQVLV,v.i.n.c.u.l.o,'Q/V\N.Q/V\.'L/V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 11",,</l>,
39,12,1,De,de,+,QV,d.e,Q/V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 12",,,<l n=&quot;12&quot;>
