wd_id,line_id,line_wd,textlineid,ref,dipl,word,phon,phon_map,syllabified,wd_div,lang,pos,morph,lemma,lemma_src,lemma_dmf,phil_note,tei_right,tei_left
72,6,3,23,"EpreuveJudic, l. 6",Agn[us],agnus,,,,_,lat,---,---,---,---,---,,,<item><s xml:lang=&quot;lat&quot;>
73,6,4,23,"EpreuveJudic, l. 6",d[e]i,dei,,,,.,lat,---,---,---,---,---,,</s></item></list></p>,
74,6,5,24,"EpreuveJudic, l. 6",Ore,ore,orə,o.r.e,'/o\.r/(ə)\,_,fro,ADVgen,---,or2,DMF,or2,,,<p><s xml:lang=&quot;fro&quot;>
75,6,6,25,"EpreuveJudic, l. 6",preiuns,preiuns,prEiONS,p.r.e.i.u.n.s,pr/E\i.'/O\NS,_,fro,VERcjg,indpst4,prier,DMF,prier,,,
76,6,7,25,"EpreuveJudic, l. 6",deuine,devine,dEvinə,d.e.v.i.n.e,d/E\.'v/i\.n/(ə)\,_,fro,ADJqua,sfr,divin,DMF,divin,,,
77,6,8,25,"EpreuveJudic, l. 6",misericordie,misericordie,mizErikɔrdiə,m.i.s.e.r.i.c.o.r.d.i.e,m/i\.z/E\.r/i\.'k/ɔ\r.di/(ə)\,.,fro,NOMcom,sfr,miséricorde,DMF,miséricorde,,,
78,6,9,25,"EpreuveJudic, l. 6",o[=e],e,e,e,/e\,_,fro,CONcoo,---,et,DMF,et,,,
79,6,10,25,"EpreuveJudic, l. 6",ma,ma,mA,m.a,m/(A)\,+,fro,DETpos,1sfr,mon,DMF,mon,,,
80,6,11,25,"EpreuveJudic, l. 6",da[m]ne,damne,dAmnə,d.a.m.n.e,'d/A\m.n/(ə)\,_,fro,NOMcom,sfr,dame,DMF,dame,,,
81,6,12,25,"EpreuveJudic, l. 6",s[an]c[t]a,sancta,,,,_,lat,ADJqua,sfr,sanctus,wiktionary,saint,,,
82,6,13,25,"EpreuveJudic, l. 6",maria,maria,,,,.|,lat,NOMcom,sfr,Maria,wiktionary,---,,,
83,7,1,25,"EpreuveJudic, l. 7",e,e,e,e,/e\,_,fro,CONcoo,---,et,DMF,et,,,<lb n=&quot;7&quot;/>
84,7,2,25,"EpreuveJudic, l. 7",ma,ma,mA,m.a,m/(A)\,_,fro,DETpos,1sfr,mon,DMF,mon,,,
85,7,3,25,"EpreuveJudic, l. 7",da[m]ne,damne,dAmnə,d.a.m.n.e,'d/A\m.n/(ə)\,_,fro,NOMcom,sfr,dame,DMF,dame,,,
86,7,4,25,"EpreuveJudic, l. 7",sainte,sainte,SAiNtə,s.a.i.n.t.e,'S/A\iN.t/(ə)\,_,fro,ADJqua,sfr,saint,DMF,saint,,,
87,7,5,25,"EpreuveJudic, l. 7",cruiz,cruiz,kryiÇ,c.r.u.i.z,kr/y\iÇ,.,fro,NOMcom,sfr,croix,DMF,croix,,,
88,7,6,25,"EpreuveJudic, l. 7",[et],e,e,e,/e\,_,fro,CONcoo,---,et,DMF,et,,,
89,7,7,25,"EpreuveJudic, l. 7",ma,ma,mA,m.a,m/(A)\,_,fro,DETpos,1sfr,mon,DMF,mon,,,
90,7,8,25,"EpreuveJudic, l. 7",da[m]ne,damne,dAmnə,d.a.m.n.e,'d/A\m.n/(ə)\,_,fro,NOMcom,sfr,dame,DMF,dame,,,
91,7,9,25,"EpreuveJudic, l. 7",s[an]c[t]a,sancta,,,,_,lat,ADJqua,sfr,sanctus,wiktionary,saint,,,
92,7,10,25,"EpreuveJudic, l. 7",elena,elena,ElEnə,e.l.e.n.a,/E\.'l/E\.n/(ə)\,.,fro,NOMcom,sfr,Hélène,wiktionary,---,,,
93,7,11,25,"EpreuveJudic, l. 7",[et],e,e,e,/e\,_,fro,CONcoo,---,et,DMF,et,,,
94,7,12,25,"EpreuveJudic, l. 7",toz,toz,toÇ,t.o.z,t/o\Ç,_,fro,DETind,pmr,tout,DMF,tout,,,
95,7,13,25,"EpreuveJudic, l. 7",sainz,sainz,SAiNÇ,s.a.i.n.z,S/A\iNÇ,.,fro,NOMcom,pmr,saint,DMF,saint,,,
96,7,14,25,"EpreuveJudic, l. 7",[et],e,e,e,/e\,_,fro,CONcoo,---,et,DMF,et,,,
97,7,15,25,"EpreuveJudic, l. 7",totes,totes,totəS,t.o.t.e.s,'t/o\.t/ə\S,_,fro,DETind,pfr,tout,DMF,tout,,,
98,7,16,25,"EpreuveJudic, l. 7",saintes,saintes,SAiNtəS,s.a.i.n.t.e.s,'S/A\iN.t/ə\S,.|,fro,NOMcom,pfr,saint,DMF,saint,,,
99,8,1,25,"EpreuveJudic, l. 8",[et],e,e,e,/e\,_,fro,CONcoo,---,et,DMF,et,,,<lb n=&quot;8&quot;/>
