wd_id,line_id,line_wd,dipl,word,phon,phon_map,syllabified,wd_div,lang,para_id,syntag,syntag2,lemma,lemma_src,lemma_dmf,pos,pos_syn,morph,ref,tei_right,tei_left
65,8,9,altre|si,altresi,ALtrəsi,a.l.t.r.e.s.i,/A\L.tr/ə\.'s/i\,_,fro,2,Adv,Adv,autressi,DMF,autressi,ADVgen,ADVgen,,"Serments, 13r, col. b, l. 10",,
66,9,1,faz[et],fazet,fAʦəð,f.a.z.e.t,'f/A\.ʦ/ə\ð,.,fro,2,Vfin,Vfin,faire,DMF,faire,VERcjg,VERcjg,subpst3,"Serments, 13r, col. b, l. 11",</s>,
67,9,2,Et,et,eð,e.t,/e\ð,_,fro,2,Crd,Crd,et,DMF,et,CONcoo,CONcoo,,"Serments, 13r, col. b, l. 11",,<lb n=&quot;11&quot;/><s xml:lang=&quot;fro&quot;>
68,9,3,ab,ab,AP,a.b,/A\P,+,fro,2,Pre,Pre,o,DMF,o,PRE,PRE,,"Serments, 13r, col. b, l. 11",,
69,9,4,ludher,ludher,LoðEr,l.u.dh.e.r,L/o\.'ð/E\r,_,fro,2,N,N,Lothaire,---,,NOMcom,NOMcom,smr,"Serments, 13r, col. b, l. 11",,
70,9,5,nul,nul,nyl,n.u.l,n/y\l,_,fro,2,QIs,QIs,nul,DMF,nul,DETind,DETind,smr,"Serments, 13r, col. b, l. 11",,
71,9,6,plaid,plaid,pLAiT,p.l.a.i.d,pL/A\iT,_,fro,2,N,N,plaid,DMF,plaid,NOMcom,NOMcom,smr,"Serments, 13r, col. b, l. 11",,
72,9,7,nu[n]qua[m],nunquam,nONkə,n.u.n.qu.am,'n/O\N.k/ə\,|,fro,2,Adv,Adv,nonque,DMF,nonque,ADVgen,ADVgen,,"Serments, 13r, col. b, l. 11",,
73,10,1,prindrai,prindrai,prENdrAi,p.r.i.n.d.r.a.i,pr/E\N.'dr/A\i,_,fro,2,Vfin,Vfin,prendre,DMF,prendre,VERcjg,VERcjg,indfut1,"Serments, 13r, col. b, l. 12",,<lb n=&quot;12&quot;/>
74,10,2,qui,qui,ki,qu.i,k/i\,_,fro,2,Qux,Qux,qui,DMF,qui,PRNrel,PRNrel,smn,"Serments, 13r, col. b, l. 12",,
75,10,3,meon,meon,mɛun,m.e.o.n,m/ɛ\un,_,fro,2,Det,Det,mon,DMF,mon,DETpos,DETpos,1smr,"Serments, 13r, col. b, l. 12",,
76,10,4,uol,vol,vOl,v.o.l,v/O\l,_,fro,2,N,N,veuil,DMF,veuil,NOMcom,NOMcom,smr,"Serments, 13r, col. b, l. 12",,
77,10,5,cist,cist,ÇeST,c.i.s.t,Ç/e\ST,_,fro,2,Dem,Dem,cist,DMF,cist,DETdem,DETdem,smr,"Serments, 13r, col. b, l. 12",,
78,10,6,meon,meon,mɛun,m.e.o.n,m/ɛ\un,_,fro,2,Adj,Adj,mien,DMF,mien,ADJpos,ADJpos,1smr,"Serments, 13r, col. b, l. 12",,
79,10,7,fradre,fradre,frAðrə,f.r.a.d.r.e,'fr/A\.ðr/ə\,|,fro,2,N,N,frère,DMF,frère,NOMcom,NOMcom,smr,"Serments, 13r, col. b, l. 12",,
80,11,1,karle,karle,kArLə,k.a.r.l.e,'k/A\r.L/ə\,_,fro,2,N,N,Charles,---,,NOMpro,NOMpro,smr,"Serments, 13r, col. b, l. 13",,<lb n=&quot;13&quot;/>
81,11,2,in,in,EN,i.n,/E\N,_,fro,2,Pre,Pre,en,DMF,en,PRE,PRE,,"Serments, 13r, col. b, l. 13",,
82,11,3,damno,damno,dAmnə,d.a.m.n.o,'d/A\m.n/ə\,_,fro,2,N,N,dam,DMF,dam,NOMcom,NOMcom,smr,"Serments, 13r, col. b, l. 13",,
83,11,4,sit,sit,seT,s.i.t,s/e\T,.,fro,2,Vfin,Vfin,être,DMF,être,VERcjg,VERcjg,subpst3,"Serments, 13r, col. b, l. 13",</s></q></p>,
84,11,5,Quod,quod,,,,_,lat,2,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 13",,<p xml:lang=&quot;lat&quot;><s>
85,11,6,cu[m],cum,,,,_,lat,2,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 13",,
86,11,7,lodhuuic[us],lodhuuicus,,,,|,lat,2,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 13",,
87,12,1,expless[et],explesset,,,,.,lat,2,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 14",,<lb n=&quot;14&quot;/>
88,12,2,karolus,karolus,,,,_,lat,2,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 14",,
89,12,3,teudis_ca,teudisca,,,,_,lat,2,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 14",,
90,12,4,lingua,lingua,,,,_,lat,2,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 14",,
91,12,5,sic,sic,,,,+,lat,2,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 14",,
92,12,6,hęc,hec,,,,|,lat,2,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 14",,
93,13,1,eade[m],eadem,,,,_,lat,2,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 15",,<lb n=&quot;15&quot;/>
94,13,2,uerba,verba,,,,_,lat,2,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 15",,
95,13,3,testatus,testatus,,,,_,lat,2,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 15",,
96,13,4,est,est,,,,.|,lat,2,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 15",</s></p>,
97,14,1,In,in,,,,+,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 16",,<lb n=&quot;16&quot;/><p><q><s xml:lang=&quot;goh&quot;>
98,14,2,godes,godes,,,,_,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 16",,
99,14,3,minna,minna,,,,_,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 16",,
100,14,4,ind,ind,,,,+,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 16",,
101,14,5,in,in,,,,+,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 16",,
102,14,6,thes,thes,,,,_,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 16",,
103,14,7,chr[ist]anes,christanes,,,,_,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 16",,
104,14,8,folches,folches,,,,|,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 16",,
105,15,1,ind,ind,,,,_,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 17",,<lb n=&quot;17&quot;/>
106,15,2,unser,unser,,,,_,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 17",,
107,15,3,bedhero,bedhero,,,,+,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 17",,
108,15,4,gealtnissi,gealtnissi,,,,:,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 17",,
109,15,5,fon,fon,,,,+,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 17",,
110,15,6,these|mo,thesemo,,,,+,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 17",,
111,16,1,da_ge,dage,,,,_,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 18",,<lb n=&quot;18&quot;/>
112,16,2,frammordes,frammordes,,,,+,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 18",,
113,16,3,so,so,,,,_,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 18",,
114,16,4,fram,fram,,,,+,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 18",,
115,16,5,so,so,,,,_,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 18",,
116,16,6,mir,mir,,,,+,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 18",,
117,16,7,got,got,,,,|,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 18",,
118,17,1,geuuizci,geuuizci,,,,_,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 19",,<lb n=&quot;19&quot;/>
119,17,2,indi,indi,,,,+,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 19",,
120,17,3,madh[=mahd],mahd,,,,_,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 19",,
121,17,4,furgibit,furgibit,,,,_,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 19",,
122,17,5,so,so,,,,+,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 19",,
123,17,6,haldih,haldih,,,,+,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 19",,
124,17,7,te|san,tesan,,,,_,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 19",,
125,18,1,minan,minan,,,,_,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 20",,<lb n=&quot;20&quot;/>
126,18,2,bruodher,bruodher,,,,_,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 20",,
127,18,3,soso,soso,,,,_,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 20",,
128,18,4,man,man,,,,+,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 20",,
129,18,5,mit,mit,,,,_,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 20",,
130,18,6,rehtu,rehtu,,,,|,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 20",,
131,19,1,sinan,sinan,,,,_,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 21",,<lb n=&quot;21&quot;/>
132,19,2,bruher,bruher,,,,_,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 21",,
133,19,3,scal,scal,,,,_,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 21",,
134,19,4,in,in,,,,+,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 21",,
135,19,5,thi_u,thiu,,,,+,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 21",,
136,19,6,tha_z,thaz,,,,+,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 21",,
137,19,7,er,er,,,,+,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 21",,
138,19,8,mig,mig,,,,+,goh,3,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 21",,
