wd_id,line_id,linewd,dipl,wd_div,word,phon,phon_map,syllabified,lang,pos,pos_syn,morph,penn_pos,syntag,syntag2,lemma,lemma_src,lemma_dmf,ref,tei_right,tei_left
100,12,8,em[en]da|ment,_,emendament,EmENdAmENT,e.m.e.n.d.a.m.e.n.t,/E\.m/E\N.d/A\.'m/E\NT,pro,NOMcom,NOMcom,smr,NCS,N,N,emendamén,DOM,amendement,"Boeci, l. 12",</l>,
101,13,1,p[ro],_,pro,pro,p.r.o,pr/o\,pro,ADVgen,ADVgen,,NCS,Adv,Adv,pró,DOM,prou,"Boeci, l. 13",,<lb/><l n=&quot;13&quot;>
102,13,2,no[n],_,non,nOn,n.o.n,n/O\n,pro,ADVneg,ADVneg,,NEG,Neg,Neg$$,nóN,DOM,ne,"Boeci, l. 13",,
103,13,3,es,_,es,ES,e.s,/E\S,pro,VERcjg,VERcjg,indpst3,VJ,Vfin,Vfin,èser,DOM,être,"Boeci, l. 13",,
104,13,4,gaigre,_,gaigre,gAigrE,g.a.i.g.r.e,'g/A\i.gr/(E)\,pro,ADVgen,ADVgen,,ADV,Adv,Adv,gaire,DOM,guère,"Boeci, l. 13",,
105,13,5,si,+,si,Si,s.i,S/<i>\,pro,CONsub,CONsub,,CONJS,Sub,Sub,si,DOM,si3,"Boeci, l. 13",,
106,13,6,penedenza,+,penedenza,pEnEdENÇA,p.e.n.e.d.e.n.z.a,p/E\.n/E\.'d/E\N.Ç/(A)\,pro,NOMcom,NOMcom,sfr,NCS,N,N,penedénsa,DOM,pénitance,"Boeci, l. 13",,
107,13,7,n,_,n,n,n,/\n,pro,PRCadv,PRCadv,,PRO,Prn,Prn$$,én3,DOM,en2,"Boeci, l. 13",,
108,13,8,pr_en,;,pren,prEn,p.r.e.n,pr/E\n,pro,VERcjg,VERcjg,indpst3,VJ,Vfin,Vfin,préndre,DOM,prendre,"Boeci, l. 13",</l>,
109,14,1,dis,_,dis,diS,d.i.s,d/i\S,pro,VERcjg,VERcjg,indpst3,VJ,Vfin,Vfin,dire,DOM,dire,"Boeci, l. 14",,<l n=&quot;14&quot;>
110,14,2,q[ue],_,que,ke,qu.e,k/(e)\,pro,CONsub,CONsub,,CONJS,Sub,Sub,que2,DOM,que,"Boeci, l. 14",,
111,14,3,l,+,l,L,l,/\L,pro,PRCper,PRCper,3sfa,PRO,Prn,Prn$$,la2,DOM,le,"Boeci, l. 14",,
112,14,4,a,+,a,A,a,/A\,pro,VERcjg,VERcjg,indpst3,AJ,Vfin,Vfin,avér,DOM,avoir,"Boeci, l. 14",,
113,14,5,bresa,|,bresa,brezA,b.r.e.s.a,'br/e\.z/(A)\,pro,VERppe,VERppe,sfr,VPP,Vpp,Vpp,préndre,DOM,prendre,"Boeci, l. 14",,
114,14,6,miia,_,mija,miʤA,m.i.j.a,'m/i\.ʤ/(A)\,pro,ADVneg,ADVneg,,ADVNEG,Neg,Neg,mica,DOM,mie3,"Boeci, l. 14",,<lb/>
115,14,7,no[n]_q[ua],_,nonqua,nONkA,n.o.n.qu.a,'n/O\N.k/(A)\,pro,ADVgen,ADVgen,,ADVNEG,Neg,Neg,nónca,DOM,nonque,"Boeci, l. 14",,
116,14,8,la,_,la,LA,l.a,L/A\,pro,PRCper,PRCper,3sfa,PRO,Prn,Prn$$,la2,DOM,le,"Boeci, l. 14",,
117,14,9,te,;,te,te,t.e,t/e\,pro,VERcjg,VERcjg,indpst3,VJ,Vfin,Vfin,tenér,DOM,tenir,"Boeci, l. 14",</l>,
118,15,1,que,_,que,ke,qu.e,k/(e)\,pro,CONcoo,CONcoo,,CONJO,Crd,Crd,que,DOM,que,"Boeci, l. 15",,<l n=&quot;15&quot;>
119,15,2,éps,_,eps,ePS,e.p.s,/e\PS,pro,ADJind,ADJind,pmr,FP,Adj,Adj,éis,DOM,,"Boeci, l. 15",,
120,15,3,lor,_,lor,LOr,l.o.r,L/O\r,pro,DETpos,DETpos,6pmr,DZ,Det,Det,lor,DOM,leur,"Boeci, l. 15",,
