wd_id,line_id,line_wd,dipl,word,wd_div,phon,phon_map,syllabified,ety_map,lang,textlineid,pos,pos_ogr,morph,lemma,lemma_src,lemma_dmf,ref,phil_note,tei_right,tei_left
278,62,3,nobis,nobis,–,NVQVQ,n.o.b.i.s,'N/V\.Q/V\Q,,lat,58,,---,---,---,---,---,"Spons, l. 58",,,
279,62,4,mercator,mercator,–,NVRQVQVR,m.e.r.c.a.t.o.r,N/V\R.'Q/V\.Q/V\R,,lat,58,,---,---,---,---,---,"Spons, l. 58",,,
280,62,5,otius,otius,–,VQVVQ,o.t.i.u.s,'/V\.Q/V\.'/V\Q,,lat,58,,---,---,---,---,---,"Spons, l. 58",,</l>,
281,63,1,quas,quas,–,QRVQ,q.u.a.s,QR/V\Q,,lat,59,,---,---,---,---,---,"Spons, l. 59",,,<l xml:lang=&quot;lat&quot; n=&quot;59&quot;>
282,63,2,habeat,habeat,–,QVQVVQ,h.a.b.e.a.t,'Q/V\.Q/V\.'/V\Q,,lat,59,,---,---,---,---,---,"Spons, l. 59",,,
283,63,3,merces,merces,–|,NVRQVQ,m.e.r.c.e.s,'N/V\R.Q/V\Q,,lat,59,,---,---,---,---,---,"Spons, l. 59",,,
284,63,4,quas,quas,–,QRVQ,q.u.a.s,QR/V\Q,,lat,59,,---,---,---,---,---,"Spons, l. 59",,,<lb/>
285,63,5,sotius,sotius,–,QVQVVQ,s.o.t.i.u.s,'Q/V\.Q/V\.'/V\Q,,lat,59,,---,---,---,---,---,"Spons, l. 59",,</l>,
286,64,1,oleum,oleum,–,VLVVN,o.l.e.u.m,'/V\.L/V\.'/V\N,,lat,60,,---,---,---,---,---,"Spons, l. 60",,,<l xml:lang=&quot;lat&quot; n=&quot;60&quot;>
287,64,2,nunc,nunc,–,NVNQ,n.u.n.c,N/V\NQ,,lat,60,,---,---,---,---,---,"Spons, l. 60",,,
288,64,3,querere,querere,–,QRVRVRV,q.u.e.r.e.r.e,'QR/V\.R/V\.'R/V\,,lat,60,,---,---,---,---,---,"Spons, l. 60",,,
289,64,4,uenimus,venimus,–,QVNVNVQ,v.e.n.i.m.u.s,'Q/V\.N/V\.'N/V\Q,,lat,60,,---,---,---,---,---,"Spons, l. 60",,</l>,
290,65,1,negligenter,negligenter,–,NVQLVQVNQVR,n.e.g.l.i.g.e.n.t.e.r,N/V\Q.L/V\.'Q/V\N.Q/V\R,,lat,61,,---,---,---,---,---,"Spons, l. 61",,,<l xml:lang=&quot;lat&quot; n=&quot;61&quot;>
291,65,2,quod,quod,–|,QRVQ,q.u.o.d,QR/V\Q,,lat,61,,---,---,---,---,---,"Spons, l. 61",,,
292,65,3,nosme,nosme,–,NVQNV,n.o.s.m.e,'N/V\Q.N/V\,,lat,61,,---,---,---,---,---,"Spons, l. 61",,,<lb/>
293,65,4,fu(n)dimus,fudimus,_,QVQVNVQ,f.u.d.i.m.u.s,'Q/V\.Q/V\.'N/V\Q,,lat,61,,---,---,---,---,---,"Spons, l. 61",,</l>,
294,66,1,Dol[=Dolentas],dolentas,_,dOlENtAS,d.o.l.e.n.t.a.s,d/O\.'l/E\N.t/A\S,d-.o[.-l-.è].-n.t-.a[.-s-,pro,62,ADJ,ADJqua,pfn,dolén,DOM,dolent,"Spons, l. 62",,<supplied reason=&quot;missing&quot;>chaitivas trop i avem dormit</supplied></l></lg></sp>,<l n=&quot;62&quot;>
295,67,1,De,de,+,dE,d.e,d/(E)\,,pro,63,ADP,PRE,---,de,DOM,de,"Spons, l. 63",,,<sp><speaker><supplied>prudentes</supplied></speaker><lg type=&quot;stanza&quot; met=&quot;decasyllable&quot; rhyme=&quot;aaab&quot;><l n=&quot;63&quot;>
296,67,2,nostr,nostr,+,nɔStr0,n.o.s.t.r.,'n/ɔ\S.tr/[0]\,,pro,63,DET,DETpos,4smr,nòstre,DOM,notre,"Spons, l. 63",,,
297,67,3,oli,oli,–,ɔli,o.l.i,'/ɔ\.l/i\,ò[.-l-.e[(o[),pro,63,NOUN,NOMcom,smr,òli,DOM,huile,"Spons, l. 63",,,
298,67,4,queret,queret,–,kErɛT,qu.e.r.e.t,k/E\.'r/ɛ\T,kw-.e].-rr-.è[.-t-(e[)(-s-),pro,63,VERB,VERcjg,indpst5,quèrre,DOM,quérir,"Spons, l. 63",,,
299,67,5,nos,nos,–,nOS,n.o.s,n/O\S,,pro,63,PRON,PRCper,4pmr,nós,DOM,nous,"Spons, l. 63",,,
300,67,6,a,a,+,A,a,/A\,,pro,63,ADP,PRE,---,a2,DOM,à,"Spons, l. 63",,,
301,67,7,doner,doner,–,dOnɛr,d.o.n.e.r,d/O\.'n/ɛ\r,d-.o[.-n-.à[.-r-(e[),pro,63,VERB,VERinf,---,donar,DOM,donner,"Spons, l. 63",,</l>,
302,68,1,no,no,+,nO,n.o,n/O\,,pro,64,ADV,ADVneg,---,nóN,DOM,ne,"Spons, l. 64",,,<l n=&quot;64&quot;>
303,68,2,n,n,+,N,n,/\n,,pro,64,PRON,PRCadv,---,én3,DOM,en2,"Spons, l. 64",,,
304,68,3,au–|ret,auret,–,AureT,a.u.r.e.t,/A\u.'r/e\T,,pro,64,VERB,VERcjg,indfut5,avér,DOM,avoir,"Spons, l. 64",,,
305,68,4,pont,pont,–,pONT,p.o.n.t,p/O\NT,,pro,64,ADV,ADVneg,---,pónh2,DOM,point2,"Spons, l. 64",,,<lb/>
306,68,5,alet,alet,–,AlɛT,a.l.e.t,/A\.'l/ɛ\T,,pro,64,VERB,VERcjg,imp---5,aller,DMF,aller,"Spons, l. 64",,,
307,68,6,en,en,+,EN,e.n,/E\N,,pro,64,PRON,PRCadv,---,én3,DOM,en2,"Spons, l. 64",,,
308,68,7,a_chapter,achapter,–,AċAPtɛr,a.ch.a.p.t.e.r,/A\.ċ/A\P.'t/ɛ\r,a].-kk-.a].-p.t-.à[.-r-(e[),pro,64,VERB,VERinf,---,acaptar,DOM,acheter,"Spons, l. 64",,</l>,
309,69,1,de,de,+,dE,d.e,d/E\,,pro,65,ADP,PRE,---,de,DOM,de,"Spons, l. 65",,,<l n=&quot;65&quot;>
310,69,2,us,us,–,uS,u.s,/\uS,,pro,65,DET,DETdef,pmr,los,DOM,le,"Spons, l. 65",,,
311,69,3,merchaans,merchaans,–,mErċAANS,m.e.r.ch.a.a.n.s,m/E\r.ċ/A\.'/A\NS,,pro,65,NOUN,NOMcom,pmr,mercan,DOM,marchand,"Spons, l. 65",,,
312,69,4,que,que,+,kE,qu.e,k/(E)\,,pro,65,PRON,PRNrel,pmr,que,DOM,que,"Spons, l. 65",,,
313,69,5,lai,lai,_,LAi,l.a.i,L/A\i,,pro,65,ADV,ADVgen,---,lai,DOM,là,"Spons, l. 65",,,
314,69,6,ue_et,veet,_,vEɛT,v.e.e.t,v/E\.'/ɛ\T,w-.e[(-d-).è[.-t-(e[)(-s-),pro,65,VERB,VERcjg,indpst5,vezér,DOM,voir,"Spons, l. 65",,,
315,69,7,ester,ester,_,EStɛr,e.s.t.e.r,/E\S.'t/ɛ\r,0.s.t-.à[.-r-(e[),pro,65,VERB,VERinf,---,estar,DOM,ester,"Spons, l. 65",,</l>,
316,70,1,Dol.[=Dolentas],dolentas,–,dOlENtAS,d.o.l.e.n.t.a.s,d/O\.'l/E\N.t/A\S,d-.o[.-l-.è].-n.t-.a[.-s-,pro,66,ADJ,ADJqua,pfn,dolén,DOM,dolent,"Spons, l. 66",,<supplied reason=&quot;missing&quot;>chaitivas trop i avem dormit</supplied></l></lg></sp>,<l n=&quot;66&quot;>
317,71,1,Mercatores,mercatores,.|,,,,,lat,---,,---,---,---,---,---,"Spons, f. 55r, rubric",,</speaker>,<sp><speaker>
318,72,1,Domnas,domnas,_,dOmnAS,d.o.m.n.a.s,'d/O\m.n/A\S,d-.ò[.-m-(i[).-n-.a[.-s-,pro,67,NOUN,NOMcom,pfn,dómna,DOM,dame,"Spons, l. 67",,,<lb/><lg type=&quot;stanza&quot; met=&quot;decasyllable&quot; rhyme=&quot;aaaa&quot;><l n=&quot;67&quot;>
319,72,2,gentils,gentils,–,ʤENtiLS,g.e.n.t.i.l.s,ʤ/E\N.'t/i\LS,ɟ-.e].-n.t-.ì[.-l-(e[).-s-,pro,67,ADJ,ADJqua,pfn,gentil,DOM,gentil,"Spons, l. 67",,,
320,72,3,no,no,+,nO,n.o,n/O\,,pro,67,ADV,ADVneg,---,nóN,DOM,ne,"Spons, l. 67",,,
321,72,4,uos,vos,–,vOS,v.o.s,v/O\S,,pro,67,PRON,PRCper,5pfr,vós,DOM,vous,"Spons, l. 67",,,
322,72,5,covent,covent,_,kOvENT,c.o.v.e.n.t,k/O\.'v/E\NT,k-.ò](-n).w-.è[.-n-(e[).-t-,pro,67,VERB,VERcjg,indpst0,convenir,DOM,convenir,"Spons, l. 67",,,
323,72,6,ester,ester,–,EStɛr,e.s.t.e.r,/E\S.'t/ɛ\r,0.s.t-.à[.-r-(e[),pro,67,VERB,VERinf,---,estar,DOM,ester,"Spons, l. 67",,</l>,
324,73,1,ni,ni,+,ni,n.i,n/i\,,pro,68,CCONJ,CONcoo,---,ni,DOM,ne2,"Spons, l. 68",,,<l n=&quot;68&quot;>
325,73,2,lo_iamen,lojamen,–,LOʤAmEn,l.o.j.a.m.e.n,L/O\.ʤ/A\.'m/E\n,,pro,68,ADV,ADVgen,---,longamén,DOM,longuement2,"Spons, l. 68",,,
326,73,3,aici,aici,_,Aisi,a.i.c.i,/A\i.'s/i\,,pro,68,ADV,ADVgen,---,aici,DOM,ici,"Spons, l. 68",,,
327,73,4,a,a,_,A,a,/A\,,pro,68,ADP,PRE,---,a2,DOM,à,"Spons, l. 68",,,
328,73,5,demo–|rer,demorer,–,dEmOrɛr,d.e.m.o.r.e.r,d/E\.m/O\.'r/ɛ\r,d-.e[.-m-.o[.-r-.à[.-r-(e[),pro,68,VERB,VERinf,---,demorar,DOM,demeurer,"Spons, l. 68",,</l>,
329,74,1,cosel,cosel,–,kOseʎ,c.o.s.e.l,k/O\.'s/e\ʎ,k-.o].-n.s-.é[.-lj-(o[),pro,69,NOUN,NOMcom,smr,consélh,DOM,conseil,"Spons, l. 69",,,<lb/><l n=&quot;69&quot;>
330,74,2,queret,queret,–,kErɛT,qu.e.r.e.t,k/E\.'r/ɛ\T,kw-.e].-rr-.è[.-t-(e[)(-s-),pro,69,VERB,VERcjg,imp---5,quèrre,DOM,quérir,"Spons, l. 69",,,
331,74,3,no,no,+,nO,n.o,n/O\,,pro,69,ADV,ADVneg,---,nóN,DOM,ne,"Spons, l. 69",,,
332,74,4,u,u,+,u,u,/\u,,pro,69,PRON,PRCper,3sma,lo3,DOM,le,"Spons, l. 69",,,
333,74,5,uos,vos,–,vOS,v.o.s,v/O\S,,pro,69,PRON,PRCper,5pfr,vós,DOM,vous,"Spons, l. 69",,,
334,74,6,poem,poem,–,pOEm,p.o.e.m,p/O\.'/E\m,p-.o[(-t-).é[.-m-(o[)(-s-),pro,69,VERB,VERcjg,indpst4,podér,DOM,pouvoir2,"Spons, l. 69",,,
335,74,7,doner,doner,–,dOnɛr,d.o.n.e.r,d/O\.'n/ɛ\r,d-.o[.-n-.à[.-r-(e[),pro,69,VERB,VERinf,---,donar,DOM,donner,"Spons, l. 69",,</l>,
336,75,1,queret,queret,–,kErɛT,qu.e.r.e.t,k/E\.'r/ɛ\T,kw-.e].-rr-.è[.-t-(e[)(-s-),pro,70,VERB,VERcjg,imp---5,quèrre,DOM,quérir,"Spons, l. 70",,,<l n=&quot;70&quot;>
337,75,2,lo,lo,_,LO,l.o,L/(O)\,,pro,70,PRON,PRCper,3sma,lo3,DOM,le,"Spons, l. 70",,,
338,75,3,deu,deu,–,dɛu,d.e.u,d/ɛ\u,,pro,70,PROPN,NOMpro,smr,dèu,DOM,Dieu,"Spons, l. 70",,,
339,75,4,chi,chi,_,ki,c.h.i,k/<i>\,,pro,70,PRON,PRNrel,smn,qui,DOM,qui,"Spons, l. 70",,,
340,75,5,uos,vos,–|,vOS,v.o.s,v/O\S,,pro,70,PRON,PRCper,5pfr,vós,DOM,vous,"Spons, l. 70",,,
341,75,6,pot,pot,–,pɔT,p.o.t,p/ɔ\T,p-.ò].-tw-(i[)(-t-),pro,70,VERB,VERcjg,indpst3,podér,DOM,pouvoir2,"Spons, l. 70",,,<lb/>
342,75,7,coseler,coseler,_,kOsEʎɛr,c.o.s.e.l.e.r,k/O\.s/E\.'ʎ/ɛ\r,k-.o](-n).s-.e[.-lj-.à[.-r-(e[),pro,70,VERB,VERinf,---,conselhar,DOM,conseiller2,"Spons, l. 70",,</l></lg>,
343,76,1,Alet,alet,–,AlɛT,a.l.e.t,/A\.'l/ɛ\T,,pro,71,VERB,VERcjg,imp---5,aller,DMF,aller,"Spons, l. 71",,,<lg type=&quot;stanza&quot; met=&quot;decasyllable&quot; rhyme=&quot;aaaa&quot;><l n=&quot;71&quot;>
344,76,2,areir,areir,–,ArEir,a.r.e.i.r,/A\.'r/E\ir,a](-d).r-.è[.-t-.-r-(o[),pro,71,ADV,ADVgen,---,aréire,DOM,arrière,"Spons, l. 71",,,
345,76,3,a,a,+,A,a,/A\,,pro,71,ADP,PRE,---,a2,DOM,à,"Spons, l. 71",,,
346,76,4,uostras,vostras,_,vɔStrAS,v.o.s.t.r.a.s,'v/ɔ\S.tr/A\S,,pro,71,DET,DETpos,5pfr,vòstre,DOM,votre,"Spons, l. 71",,,
347,76,5,sinc,sinc,–,SiNK,s.i.n.c,S/i\NK,,pro,71,NUM,DETcar,pfr,cinc,DOM,cinq,"Spons, l. 71",,,
348,76,6,seros,seros,–,SEroS,s.e.r.o.s,S/E\.'r/o\S,s-.o[.-r-.ó[(-r-)(e[).-s-,pro,71,NOUN,NOMcom,pfr,serór,DOM,soeur,"Spons, l. 71",,</l>,
349,77,1,e,e,+,E,e,/E\,,pro,72,CCONJ,CONcoo,---,e,DOM,et,"Spons, l. 72",,,<l n=&quot;72&quot;> 
350,77,2,pre_iat,preiat,_,prEiAT,p.r.e.i.a.t,pr/E\i.'/A\T,p-.r-.e[.-k-.à[.-t-(e[)(-s-),pro,72,VERB,VERcjg,imp---5,pregar,DOM,prier,"Spons, l. 72",,,
351,77,3,las,las,_,LAS,l.a.s,L/A\S,,pro,72,PRON,PRCper,6pfr,las4,DOM,le,"Spons, l. 72",,,
352,77,4,p[er],per,_,pEr,p.e.r,p/E\r,,pro,72,ADP,PRE,---,pér,DOM,par,"Spons, l. 72",,,
353,77,5,deu,deu,–|,dɛu,d.e.u,d/ɛ\u,,pro,72,PROPN,NOMpro,smr,dèu,DOM,Dieu,"Spons, l. 72",,,
354,77,6,lo,lo,+,LO,l.o,L/(O)\,,pro,72,DET,DETdef,smr,lo2,DOM,le,"Spons, l. 72",,,<lb/>
355,77,7,glorios,glorios,–,gLOrioS,g.l.o.r.i.o.s,gL/O\.r/i\.'/o\S,,pro,72,ADJ,ADJqua,smr,gloriós,DOM,glorieux,"Spons, l. 72",,</l>,
356,78,1,de,de,+,QV,d.e,Q/V\,,lat,73,ADP,PRE,---,de,wiktionary,de,"Spons, l. 73",,,<l n=&quot;73&quot;> 
357,78,2,oleo,oleo,–,VLVV,o.l.e.o,/V\.L/V\.'/V\,,lat,73,NOUN,NOMcom,smr,oleum,wiktionary,huile,"Spons, l. 73",,,
358,78,3,fasen,fasen,–,fAsEn,f.a.s.e.n,'f/A\.s/E\n,f-.à].-kj-.a].-n(-t),pro,73,VERB,VERcjg,subpst6,faire,DOM,faire,"Spons, l. 73",,,
359,78,4,socors,socors,–,SOkorS,s.o.c.o.r.s,S/O\.'k/o\rS,s-.o].-kk-.ó].-r.s-(o[),pro,73,NOUN,NOMcom,smr,secórs,DOM,secours,"Spons, l. 73",,,
360,78,5,a,a,+,A,a,/A\,,pro,73,ADP,PRE,---,a2,DOM,à,"Spons, l. 73",,,
361,78,6,uos,vos,–,voS,v.o.s,v/o\S,,pro,73,PRON,PRNper,5pfr,vós,DOM,vous,"Spons, l. 73",,</l>,
362,79,1,fai_tes,faites,–,fAitES,f.a.i.t.e.s,'f/A\i.t/E\S,f-.à[.-k(i[).t-.e[.-s-,pro,74,VERB,VERcjg,imp---5,faire,DOM,faire,"Spons, l. 74",,,<l n=&quot;74&quot;> 
363,79,2,o,o,+,O,o,/O\,,pro,74,PRON,PRCdem,snr,ó2,DOM,---,"Spons, l. 74",,,
364,79,3,tost,tost,–,tɔST,t.o.s.t,t/ɔ\ST,,pro,74,ADV,ADVgen,---,tòst,DOM,tôt,"Spons, l. 74",,,
365,79,4,q[ue],que,_,kE,qu.e,k/(E)\,,pro,74,SCONJ,CONsub,---,que2,DOM,que,"Spons, l. 74",,,
366,79,5,ia,ja,_,ʤA,j.a,ʤ/A\,,pro,74,ADV,ADVgen,---,ja,DOM,jà,"Spons, l. 74",,,
367,79,6,uenra,venra,–,vENrA,v.e.n.r.a,v/E\N.'r/A\,,pro,74,VERB,VERcjg,indfut3,venir,DOM,venir,"Spons, l. 74",,,
368,79,7,l,l,+,L,l,L/\,,pro,74,DET,DETdef,smn,lo2,DOM,le,"Spons, l. 74",,,
369,79,8,espos,espos,–|,ESpoS,e.s.p.o.s,/E\S.'p/o\S,0.s.p-.ó](-n).s-(o[),pro,74,NOUN,NOMcom,smn,espós,DOM,époux,"Spons, l. 74",,</l></lg></sp>,
370,80,1,A,a,_,V,a,/V\,,lat,75,,---,---,---,---,---,"Spons, l. 75",,,<pb n=&quot;55v&quot; facs=&quot;https://gallica.bnf.fr/ark:/12148/btv1b6000946s/f118.item&quot;/><lb/><sp><speaker><supplied reason=&quot;missing&quot;>fatue</supplied></speaker><lg type=&quot;stanza&quot; met=&quot;decasyllable&quot; rhyme=&quot;aaaab&quot;><l xml:lang=&quot;lat&quot; n=&quot;75&quot;> 
371,80,2,misere,misere,–,NVQVRV,m.i.s.e.r.e,'N/V\.Q/V\.'R/V\,,lat,75,,---,---,---,---,---,"Spons, l. 75",,,
372,80,3,nos,nos,_,NVQ,n.o.s,N/V\Q,,lat,75,,---,---,---,---,---,"Spons, l. 75",,,
373,80,4,ad,ad,_,VQ,a.d,/V\Q,,lat,75,,---,---,---,---,---,"Spons, l. 75",,,
374,80,5,quid,quid,–,QRVQ,q.u.i.d,QR/V\Q,,lat,75,,---,---,---,---,---,"Spons, l. 75",,,
375,80,6,uenimus,venimus,–,QVNVNVQ,v.e.n.i.m.u.s,'Q/V\.N/V\.'N/V\Q,,lat,75,,---,---,---,---,---,"Spons, l. 75",,</l>,
376,81,1,nil,nil,_,NVL,n.i.l,N/V\L,,lat,76,,---,---,---,---,---,"Spons, l. 76",,,<l xml:lang=&quot;lat&quot; n=&quot;76&quot;> 
377,81,2,est,est,–,VQQ,e.s.t,/V\QQ,,lat,76,,---,---,---,---,---,"Spons, l. 76",,,
378,81,3,enim,enim,–,VNVN,e.n.i.m,'/V\.N/V\N,,lat,76,,---,---,---,---,---,"Spons, l. 76",,,
379,81,4,illut,illut,–,VLLVQ,i.l.l.u.t,'/V\L.L/V\Q,,lat,76,,---,---,---,---,---,"Spons, l. 76",,,
380,81,5,quod,quod,–,QRVQ,q.u.o.d,QR/V\Q,,lat,76,,---,---,---,---,---,"Spons, l. 76",,,
381,81,6,querim[us],querimus,–|,QRVRVNVQ,q.u.e.r.i.m.u.s,'QR/V\.R/V\.'N/V\Q,,lat,76,,---,---,---,---,---,"Spons, l. 76",,</l>,
382,82,1,fa_tatum,fatatum,–,QVQVQVN,f.a.t.a.t.u.m,Q/V\.'Q/V\.Q/V\N,,lat,77,,---,---,---,---,---,"Spons, l. 77",,,<lb/><l xml:lang=&quot;lat&quot; n=&quot;77&quot;> 
383,82,2,est,est,–,VQQ,e.s.t,/V\QQ,,lat,77,,---,---,---,---,---,"Spons, l. 77",,,
384,82,3,[et],et,+,VQ,e.t,/V\Q,,lat,77,,---,---,---,---,---,"Spons, l. 77",,,
385,82,4,nos,nos,–,NVQ,n.o.s,N/V\Q,,lat,77,,---,---,---,---,---,"Spons, l. 77",,,
386,82,5,uidebimus,videbimus,–,QVQVQVNVQ,v.i.d.e.b.i.m.u.s,Q/V\.'Q/V\.Q/V\.'N/V\Q,,lat,77,,---,---,---,---,---,"Spons, l. 77",,</l>,
387,83,1,ad,ad,_,VQ,a.d,/V\Q,,lat,78,,---,---,---,---,---,"Spons, l. 78",,,<l xml:lang=&quot;lat&quot; n=&quot;78&quot;> 
388,83,2,nuptias,nuptias,–,NVQQVVQ,n.u.p.t.i.a.s,'N/V\Q.Q/V\.'/V\Q,,lat,78,,---,---,---,---,---,"Spons, l. 78",,,
389,83,3,numquam,numquam,–,NVNQRVN,n.u.m.q.u.a.m,'N/V\N.QR/V\N,,lat,78,,---,---,---,---,---,"Spons, l. 78",,,
390,83,4,intrabim[us],intrabimus,_,VNQRVQVNVQ,i.n.t.r.a.b.i.m.u.s,/V\N.'QR/V\.Q/V\.'N/V\Q,,lat,78,,---,---,---,---,---,"Spons, l. 78",,</l>,
391,84,1,Dol[=Dolentas],dolentas,–|,dOlENtAS,d.o.l.e.n.t.a.s,d/O\.'l/E\N.t/A\S,d-.o[.-l-.è].-n.t-.a[.-s-,pro,79,ADJ,ADJqua,pfn,dolén,DOM,dolent,"Spons, l. 79",,<supplied reason=&quot;missing&quot;>chaitivas trop i avem dormit</supplied></l></lg>,<l n=&quot;79&quot;>
392,85,1,M[odo],modo,_,,,,,lat,---,,---,---,---,---,---,"Spons, f. 55v, rubric",,,<lb/><stage type=&quot;entrance&quot;><p><s xml:lang=&quot;lat&quot;>
393,85,2,ueniat,veniat,_,,,,,lat,---,,---,---,---,---,---,"Spons, f. 55v, rubric",,,
394,85,3,spo[n]sus,sponsus,_,,,,,lat,---,,---,---,---,---,---,"Spons, f. 55v, rubric",,</s></p></stage>,
395,86,1,Avdi,audi,–,VQV,au.d.i,'/V\.Q/V\,,lat,80,,---,---,---,---,---,"Spons, l. 80",,,<lg xml:lang=&quot;lat&quot; type=&quot;stanza&quot; met=&quot;decasyllable&quot; rhyme=&quot;aaa&quot;><l n=&quot;80&quot;>
396,86,2,sponse,sponse,–,QQVNQV,s.p.o.n.s.e,'QQ/V\N.Q/V\,,lat,80,,---,---,---,---,---,"Spons, l. 80",,,
397,86,3,uo_ces,voces,–,QVQVQ,v.o.c.e.s,'Q/V\.Q/V\Q,,lat,80,,---,---,---,---,---,"Spons, l. 80",,,
398,86,4,plan_gentium,plangentium,–,QLVNQVNQVVN,p.l.a.n.g.e.n.t.i.u.m,QL/V\N.'Q/V\N.Q/V\.'/V\N,,lat,80,,---,---,---,---,---,"Spons, l. 80",,</l>,
399,87,1,ap[er]_ire,aperire,–,VQVRVRV,a.p.e.r.i.r.e,/V\.Q/V\.'R/V\.R/V\,,lat,81,,---,---,---,---,---,"Spons, l. 81",,,<l n=&quot;81&quot;>
400,87,2,fac,fac,_,QVQ,f.a.c,Q/V\Q,,lat,81,,---,---,---,---,---,"Spons, l. 81",,,
401,87,3,nobis,nobis,–,NVQVQ,n.o.b.i.s,'N/V\.Q/V\Q,,lat,81,,---,---,---,---,---,"Spons, l. 81",,,
402,87,4,ostium,ostium,–,VQQVVN,o.s.t.i.u.m,'/V\Q.Q/V\.'/V\N,,lat,81,,---,---,---,---,---,"Spons, l. 81",,</l>,
403,88,1,cum,cum,–|,QVN,c.u.m,Q/V\N,,lat,82,,---,---,---,---,---,"Spons, l. 82",,,<l n=&quot;82&quot;>
404,88,2,sotiis,sotiis,–,QVQVVQ,s.o.t.i.i.s,'Q/V\.Q/V\.'/V\Q,,lat,82,,---,---,---,---,---,"Spons, l. 82",,,<lb/>
405,88,3,prebe,prebe,–,QRVQV,p.r.e.b.e,'QR/V\.Q/V\,,lat,82,,---,---,---,---,---,"Spons, l. 82",,,
406,88,4,remedi_um,remedium,–,RVNVQVVN,r.e.m.e.d.i.u.m,R/V\.'N/V\.Q/V\.'/V\N,,lat,82,,---,---,---,---,---,"Spons, l. 82",,</l></lg></sp>,
407,89,1,M[odo],modo,_,,,,,lat,---,,---,---,---,---,---,"Spons, f. 55v, rubric",,,<sp><speaker>
408,89,2,veniat,veniat,.,,,,,lat,---,,---,---,---,---,---,"Spons, f. 55v, rubric",,,
409,89,3,SPO[N]S[US],sponsus,.,,,,,lat,---,,---,---,---,---,---,"Spons, f. 55v, rubric",,,
410,89,4,CHR[ISTU]S,christus,.,,,,,lat,---,,---,---,---,---,---,"Spons, f. 55v, rubric",,</speaker>,
411,90,1,A_men,amen,_,VNVN,a.m.e.n,'/V\.N/V\N,,lat,83,,---,---,---,---,---,"Spons, l. 83",,,<lg xml:lang=&quot;lat&quot; type=&quot;couplet&quot; met=&quot;4+4+7pp&quot; rhyme=&quot;aa&quot;><l n=&quot;83&quot;>
412,90,2,dico,dico,_,QVQV,d.i.c.o,'Q/V\.Q/V\,,lat,83,,---,---,---,---,---,"Spons, l. 83",,,
413,90,3,uos,vos,–,QVQ,v.o.s,Q/V\Q,,lat,83,,---,---,---,---,---,"Spons, l. 83",,,
414,90,4,ignos–|co,ignosco,–,VQNVQQV,i.g.n.o.s.c.o,/V\Q.'N/V\Q.Q/V\,,lat,83,,---,---,---,---,---,"Spons, l. 83",,,
415,90,5,nam,nam,–,NVN,n.a.m,N/V\N,,lat,83,,---,---,---,---,---,"Spons, l. 83",,,<lb/>
416,90,6,caretis,caretis,–,QVRVQVQ,c.a.r.e.t.i.s,Q/V\.'R/V\.Q/V\Q,,lat,83,,---,---,---,---,---,"Spons, l. 83",,,
417,90,7,lumine,lumine,–,LVNVNV,l.u.m.i.n.e,'L/V\.N/V\.'N/V\,,lat,83,,---,---,---,---,---,"Spons, l. 83",,</l>,
418,91,1,quod,quod,–,QRVQ,q.u.o.d,QR/V\Q,,lat,84,,---,---,---,---,---,"Spons, l. 84",,,<l n=&quot;84&quot;>
419,91,2,q[u]i,qui,_,QRV,q.u.i,QR/V\,,lat,84,,---,---,---,---,---,"Spons, l. 84",,,
420,91,3,p[er]gunt[=perdunt],perdunt,–,QVRQVNQ,p.e.r.d.u.n.t,'Q/V\R.Q/V\NQ,,lat,84,,---,---,---,---,---,"Spons, l. 84",,,
421,91,4,p[ro]_cul,procul,–,QRVQVL,p.r.o.c.u.l,'QR/V\.Q/V\L,,lat,84,,---,---,---,---,---,"Spons, l. 84",,,
422,91,5,p[er]gunt,pergunt,–,QVRQVNQ,p.e.r.g.u.n.t,'Q/V\R.Q/V\NQ,,lat,84,,---,---,---,---,---,"Spons, l. 84",,,
423,91,6,huius,huius,_,QVRVQ,h.u.i.u.s,'Q/V\.R/V\Q,,lat,84,,---,---,---,---,---,"Spons, l. 84",,,
424,91,7,au–|le,aule,–,VLV,au.l.e,'/V\.L/V\,,lat,84,,---,---,---,---,---,"Spons, l. 84",,,
425,91,8,lumine[=limine],limine,–,LVNVNV,l.i.m.i.n.e,'L/V\.N/V\.'N/V\,,lat,84,,---,---,---,---,---,"Spons, l. 84",,</l></lg>,<lb/>
426,92,1,Al[et],alet,–,AlɛT,a.l.e.t,/A\.'l/ɛ\T,,pro,85,VERB,VERcjg,imp---5,aller,DMF,aller,"Spons, l. 85",,,<lg type=&quot;stanza&quot; met=&quot;decasyllable&quot; rhyme=&quot;aaa&quot;><l n=&quot;85&quot;>
427,92,2,chaitiuas,chaitivas,–,ċAitivAS,ch.a.i.t.i.v.a.s,ċ/A\i.'t/i\.v/A\S,k-.a].-p.t-.ì[.-w-.a[.-s-,pro,85,ADJ,ADJqua,pfn,caitiu,DOM,chétif,"Spons, l. 85",,,
428,92,3,al[et],alet,–,AlɛT,a.l.e.t,/A\.'l/ɛ\T,,pro,85,VERB,VERcjg,imp---5,aller,DMF,aller,"Spons, l. 85",,,
