wd_id,line_id,line_wd,dipl,word,phon,phon_map,syllabified,wd_div,lemma,lemma_src,lemma_dmf,pos,pos_syn,morph,ref,tei_right,tei_left
135,19,5,thi_u,thiu,,,,+,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 21",,
136,19,6,tha_z,thaz,,,,+,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 21",,
137,19,7,er,er,,,,+,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 21",,
138,19,8,mig,mig,,,,+,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 21",,
139,19,9,so,so,,,,+,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 21",,
140,19,10,so|ma[=sama],sama,,,,+,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 21",,
141,20,1,duo,duo,,,,.,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 22",</s>,<lb n=&quot;22&quot;/>
142,20,2,indi,indi,,,,+,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 22",,<s xml:lang=&quot;goh&quot;>
143,20,3,mit,mit,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 22",,
144,20,4,luheren,luheren,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 22",,
145,20,5,in,in,,,,+,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 22",,
146,20,6,nohhein_iu,nohheiniu,,,,+,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 22",,
147,20,7,t|hing,thing,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 22",,
148,21,1,ne,ne,,,,+,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 23",,<lb n=&quot;23&quot;/>
149,21,2,ge_gango,gegango,,,,.,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 23",,
150,21,3,the,the,,,,+,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 23",,
151,21,4,minan,minan,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 23",,
152,21,5,uuillon,uuillon,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 23",,
153,21,6,imo,imo,,,,|,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 23",,
154,22,1,ce,ce,,,,+,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 24",,<lb n=&quot;24&quot;/>
155,22,2,s_cadhen,scadhen,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 24",,
156,22,3,uuerdhen,uuerdhen,,,,.|,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 24",</s></q></p>,
157,23,1,Sacram[en]tu[m],sacramentum,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 25",,<lb n=&quot;25&quot;/><p><s xml:lang=&quot;lat&quot;>
158,23,2,aut[em],autem,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 25",,
