wd_id,line_id,linewd,dipl,word,phon,phon_map,syllabified,wd_div,lemma,lemma_src,lemma_dmf,pos,pos_syn,morph,ref,tei_left,tei_right
168,25,7,ciel,ciel,Çiel,c.i.e.l,Ç/ie\l,_,ciel,DMF,ciel,NOMcom,NOMcom,smr,"Eulalie, l. 25",,</l>
169,26,1,Tuit,tuit,tyiT,t.u.i.t,t/y\iT,_,tout,DMF,tout,PRNind,PRNind,pmn,"Eulalie, l. 26",<l n=&quot;26&quot;>,
170,26,2,oram,oram,orAm,o.r.a.m,/o\.'r/A\m,_,orer,DMF,orer,VERcjg,VERcjg,subpst4,"Eulalie, l. 26",,
171,26,3,que,que,kE,qu.e,k/E\,_,que,DMF,que,CONsub,CONsub,,"Eulalie, l. 26",,
172,26,4,per,per,pÆr,p.e.r,p/Æ\r,_,par,DMF,par,PRE,PRE,,"Eulalie, l. 26",,
173,26,5,nos,nos,noS,n.o.s,n/o\S,_,nous,DMF,nous,PRNper,PRNper,4pmr,"Eulalie, l. 26",,
174,26,6,degnet,degnet,dEɲəð,d.e.gn.e.t,'d/E\.ɲ/ə\ð,_,digner,DMF,digner,VERcjg,VERcjg,subpst3,"Eulalie, l. 26",,
175,26,7,preier,preier,preier,p.r.e.i.e.r,pr/e\.'/ie\r,|,prier,DMF,prier,VERinf,VERinf,,"Eulalie, l. 26",,</l></lg>
176,27,1,Q_ued,qued,kEð,qu.e.d,k/E\ð,_,que,DMF,que,CONsub,CONsub,,"Eulalie, l. 27",<lb/><lg type=&quot;couplet&quot;><l n=&quot;27&quot;>,
177,27,2,auuisset,auwisset,Auuisəð,a.u.w.i.ss.e.t,/A\u.'u/i\.s/ə\ð,_,avoir,DMF,avoir,VERcjg,VERcjg,subipf3,"Eulalie, l. 27",,
178,27,3,de,de,dE,d.e,d/E\,_,de,DMF,de,PRE,PRE,,"Eulalie, l. 27",,
179,27,4,nos,nos,noS,n.o.s,n/o\S,_,nous,DMF,nous,PRNper,PRNper,4pmr,"Eulalie, l. 27",,
180,27,5,chr[istu]s,christus,kriStUS,ch.r.i.s.t.u.s,kr/i\S.'t/U\S,_,Christ,DMF,Christ,NOMpro,NOMpro,smn,"Eulalie, l. 27",,
181,27,6,mercit,mercit,mErʦið,m.e.r.c.i.t,m/E\r.'ʦ/i\ð,.,merci,DMF,merci,NOMcom,NOMcom,sfr,"Eulalie, l. 27",,</l>
182,28,1,Post,post,pɔST,p.o.s.t,p/ɔ\ST,_,post,TL,,PRE,PRE,,"Eulalie, l. 28",<l n=&quot;28&quot;>,
183,28,2,la,la,LA,l.a,L/A\,_,le,DMF,le,DETdef,DETdef,sfr,"Eulalie, l. 28",,
184,28,3,mort,mort,mɔrT,m.o.r.t,m/ɔ\rT,_,mort,DMF,mort,NOMcom,NOMcom,,"Eulalie, l. 28",,
185,28,4,[et],et,eð,e.t,/e\ð,_,et,DMF,et,CONcoo,CONcoo,,"Eulalie, l. 28",,
186,28,5,a,a,a,a,/a\,+,à,DMF,à,PRE,PRE,,"Eulalie, l. 28",,
187,28,6,lui,lui,Lyi,l.u.i,L/y\i,_,lui,DMF,lui,PRNper,PRNper,3smr,"Eulalie, l. 28",,
188,28,7,nos,nos,noS,n.o.s,n/o\S,_,nous,DMF,nous,PRCper,PRCper,4pmr,"Eulalie, l. 28",,
189,28,8,laist,laist,LAiST,l.a.i.s.t,L/A\iST,_,laisser,DMF,laisser,VERcjg,VERcjg,subpst3,"Eulalie, l. 28",,
190,28,9,uenir,venir,vEnir,v.e.n.i.r,v/E\.'n/i\r,|,venir,DMF,venir,VERinf,VERinf,,"Eulalie, l. 28",,</l></lg>
191,29,1,P_ar,par,pAr,p.a.r,p/A\r,_,par,DMF,par,PRE,PRE,,"Eulalie, l. 29",<lb/><l n=&quot;29&quot;>,
192,29,2,souue,souwe,Souuə,s.o.u.w.e,'S/o\u.u/(ə)\,_,son4,DMF,son4,DETpos,DETpos,3sfr,"Eulalie, l. 29",,
193,29,3,clementia,clementia,klEmENtiA,c.l.e.m.e.n.t.i.a,kl/E\.m/E\N.t/i\.'/A\,|,clémence,DMF,clémence,NOMcom,NOMcom,sfr,"Eulalie, l. 29",,</l></body></text>
