wd_id,line_id,line_wd,textlineid,ref,dipl,word,wd_div,phon,map,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,phil_note,tei_right,tei_left
504,85,1,85,"CantQuSol, l. 85",De,de,+,dE,d.e,fro,PRE,PRE,,de,DMF,de,,,"<lg n=&quot;29&quot; type=&quot;stanza&quot; met=&quot;decasyllable,tetrasyllable&quot; rhyme=&quot;aab&quot;><l n=&quot;85&quot;><q>"
109,20,1,20,"CantQuSol, l. 20",diret,diret,_,dirə,d.i.r.et,fro,VERinf,VERinf,,dire,DMF,dire,,,<lb/><l n=&quot;20&quot;><q>
31,6,4,6,"CantQuSol, l. 6",dis,dis,;,diS,d.i.s,fro,VERcjg,VERcjg,indpsp1,dire,DMF,dire,,</l></lg>,
126,22,2,22,"CantQuSol, l. 22",dist,dist,_,diST,d.i.s.t,fro,VERcjg,VERcjg,indpsp3,dire,DMF,dire,,,
339,55,7,55,"CantQuSol, l. 55",dolcelt,dolcelt,_,doLÇə,d.o.l.c.elt,fro,ADJqua,ADJqua,sfr,douce,DMF,douce,,</q></l>,
26,5,4,5,"CantQuSol, l. 5",dolcement,dolcement,_,doLÇEmENT,d.o.l.c.e.m.e.n.t,fro,ADVgen,ADVgen,,doucement,DMF,doucement,,,
42,8,4,8,"CantQuSol, l. 8",dolcement,dolcement,|,doLÇEmENT,d.o.l.c.e.m.e.n.t,fro,ADVgen,ADVgen,,doucement,DMF,doucement,,,
145,25,1,25,"CantQuSol, l. 25",Dolćór,dolcor,_,doLÇor,d.o.l.c.o.r,fro,NOMcom,NOMcom,sfr,douceur,DMF,douceur,,,"<lb/><lg n=&quot;9&quot; type=&quot;stanza&quot; met=&quot;decasyllable,tetrasyllable&quot; rhyme=&quot;aab&quot;><l n=&quot;25&quot;><q>"
190,31,9,31,"CantQuSol, l. 31",durer,durer,|,dyrær,d.u.r.e.r,fro,VERinf,VERinf,,durer,DMF,durer,,</q></l>,
262,43,2,43,"CantQuSol, l. 43",es_calgaites,escalgaites,_,ESkALgAitəS,e.s.c.a.l.g.a.i.t.e.s,fro,NOMcom,NOMcom,pmr,échauguette,DMF,échauguette,,,
371,61,1,61,"CantQuSol, l. 61",Ell,ell,+,ɛl,e.ll,fro,PRNper,PRNper,3sfn,elle,DMF,elle,,,"<lb/><lg n=&quot;21&quot; type=&quot;stanza&quot; met=&quot;decasyllable,tetrasyllable&quot; rhyme=&quot;aab&quot;><l n=&quot;61&quot;><q>"
519,88,1,88,"CantQuSol, l. 88",Enpres,enpres,_,ENprɛS,e.n.p.r.e.s,fro,PRE,PRE,,emprès,DMF,emprès,,,"<lb/><lg n=&quot;30&quot; type=&quot;stanza&quot; met=&quot;decasyllable,tetrasyllable&quot; rhyme=&quot;aab&quot;><l n=&quot;88&quot;><q>"
5,1,5,1,"CantQuSol, l. 1",en,en,+,En,e.n,fro,PRE,PRE,,en,DMF,en,,,
7,2,1,2,"CantQuSol, l. 2",en,en,+,En,e.n,fro,PRE,PRE,,en,DMF,en,,,<lb/><l n=&quot;2&quot;>
222,37,1,37,"CantQuSol, l. 37",En,en,_,En,e.n,fro,PRE,PRE,,en,DMF,en,,,"<lg n=&quot;13&quot; type=&quot;stanza&quot; met=&quot;decasyllable,tetrasyllable&quot; rhyme=&quot;aab&quot;><l n=&quot;37&quot;><q>"
348,56,9,56,"CantQuSol, l. 56",en,en,+,En,e.n,fro,PRE,PRE,,en,DMF,en,,,
551,93,1,93,"CantQuSol, l. 93",en,en,+,En,e.n,fro,PRE,PRE,,en,DMF,en,,,<lb/><l n=&quot;93&quot;><q>
86,16,7,16,"CantQuSol, l. 16",enn,enn,+,En,e.nn,fro,PRE,PRE,,en,DMF,en,,,<lb/>
72,14,5,14,"CantQuSol, l. 14",en,en,+,En,e.n,fro,PRCadv,PRCadv,,en2,DMF,en2,,,
114,20,6,20,"CantQuSol, l. 20",en,en,+,En,e.n,fro,PRCadv,PRCadv,,en2,DMF,en2,,,
122,21,4,21,"CantQuSol, l. 21",en,en,+,En,e.n,fro,PRCadv,PRCadv,,en2,DMF,en2,,,
250,41,2,41,"CantQuSol, l. 41",en,en,_,En,e.n,fro,PRCadv,PRCadv,,en2,DMF,en2,,,
412,67,3,67,"CantQuSol, l. 67",en,en,+,En,e.n,fro,PRCadv,PRCadv,,en2,DMF,en2,,,
345,56,6,56,"CantQuSol, l. 56",n_n,nn,+,n,n.n,fro,PRCadv,PRCadv,,en2,DMF,en2,,,
244,40,6,40,"CantQuSol, l. 40",en_cor,encor,|,ENkɔr,e.n.c.o.r,fro,ADVgen,ADVgen,,encore,DMF,encore,,,
116,20,8,20,"CantQuSol, l. 20",entreiz,entreiz,_,ENtrəS,e.n.t.r.ei.z,fro,PRE,PRE,,entre,DMF,entre,,,<lb/>
418,68,3,68,"CantQuSol, l. 68",ent_ueiad,entveiad,|,ENvEiaZ,e.nt.v.e.i.a.d,fro,VERcjg,VERcjg,indpsp3,envoyer,DMF,envoyer,,,
537,91,2,91,"CantQuSol, l. 91",enueiad,enveiad,_,ENvEiaZ,e.n.v.e.i.a.d,fro,VERcjg,VERcjg,indpsp3,envoyer,DMF,envoyer,,,<lb/>
39,8,1,8,"CantQuSol, l. 8",e,e,_,e,e,fro,CONcoo,CONcoo,,et,DMF,et,,,<l n=&quot;8&quot;><q>
511,86,1,86,"CantQuSol, l. 86",ę,e,+,e,e,fro,CONcoo,CONcoo,,et,DMF,et,,,<l n=&quot;86&quot;><q>
235,38,7,38,"CantQuSol, l. 38",ed,ed,_,e,ed,fro,CONcoo,CONcoo,,et,DMF,et,,</q></l>,
23,5,1,5,"CantQuSol, l. 5",[et],et,_,e,et,fro,CONcoo,CONcoo,,et,DMF,et,,,<lb/><l n=&quot;5&quot;>
28,6,1,6,"CantQuSol, l. 6",[et],et,_,e,et,fro,CONcoo,CONcoo,,et,DMF,et,,,<lb/><l n=&quot;6&quot;>
44,9,1,9,"CantQuSol, l. 9",[et],et,_,e,et,fro,CONcoo,CONcoo,,et,DMF,et,,,<lb/><l n=&quot;9&quot;><q>
101,19,3,19,"CantQuSol, l. 19",[et],et,_,e,et,fro,CONcoo,CONcoo,,et,DMF,et,,,
158,26,8,26,"CantQuSol, l. 26",[et],et,_,e,et,fro,CONcoo,CONcoo,,et,DMF,et,,,
161,27,1,27,"CantQuSol, l. 27",[et],et,_,e,et,fro,CONcoo,CONcoo,,et,DMF,et,,,<l n=&quot;27&quot;><q>
281,46,4,46,"CantQuSol, l. 46",[et],et,_,e,et,fro,CONcoo,CONcoo,,et,DMF,et,,,<lb/>
426,69,1,69,"CantQuSol, l. 69",[et],et,_,e,et,fro,CONcoo,CONcoo,,et,DMF,et,,,<l n=&quot;69&quot;><q>
