wd_id,line_id,line_wd,textlineid,ref,dipl,word,phon,map,wd_div,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,phil_note,tei_right,tei_left
279,52,5,51,"AlexAlb, l. 51",toz,toz,toÇ,t.o.z,_,fro,ADVgen,ADVgen,---,tout,DMF,tout,,,
340,62,1,61,"AlexAlb, l. 61",tot,tot,toT,t.o.t,+,fro,ADVgen,ADVgen,---,tout,DMF,tout,dipl_MölkHoltus1999:589,,<l n=&quot;61&quot;>
120,23,4,22,"AlexAlb, l. 22",tota,tota,totə,t.o.t.a,_,fro,DETind,DETind,sfr,tout,DMF,tout,,,
264,49,5,48,"AlexAlb, l. 48",toz,toz,toÇ,t.o.z,_,fro,DETind,DETind,pmr,tout,DMF,tout,,,
464,84,2,83,"AlexAlb, l. 83",totas,totas,totAS,t.o.t.a.s,_,fro,DETind,DETind,pfr,tout,DMF,tout,,,
579,103,3,102,"AlexAlb, l. 102",toz,toz,toÇ,t.o.z,_,fro,DETind,DETind,pmr,tout,DMF,tout,,,
41,9,2,8,"AlexAlb, l. 8",tot,tot,toT,t.o.t,_,fro,PRNind,PRNind,snn,tout,DMF,tout,,,
454,82,2,81,"AlexAlb, l. 81",trestot,trestot,trEStoT,t.r.e.s.t.o.t,_,fro,ADVgen,ADVgen,---,trèstout,DMF,trèstout,,,
311,57,6,56,"AlexAlb, l. 56",treys,treys,trEiS,t.r.e.y.s,.|,fro,ADJcar,ADJcar,pmr,trois,DMF,trois,,</l>,
395,71,5,70,"AlexAlb, l. 70",trob,trob,tròP,t.r.o.b,_,fro,ADVgen,ADVgen,---,trop,DMF,trop,,,
347,63,2,62,"AlexAlb, l. 62",un,un,yn,u.n,_,fro,ADJind,ADJind,smr,un,DMF,un,,,
68,13,4,12,"AlexAlb, l. 12",un,un,yn,u.n,_,fro,DETndf,DETndf,smr,un,DMF,un,,,
126,24,5,23,"AlexAlb, l. 23",un,un,yn,u.n,_,fro,DETndf,DETndf,smr,un,DMF,un,,,
491,89,2,88,"AlexAlb, l. 88",uns,uns,yNS,u.n.s,_,fro,PRNind,PRNind,smn,un,DMF,un,,,
128,24,7,23,"AlexAlb, l. 23",ualent,valent,vAlENT,v.a.l.e.n.t,.,fro,VERppa,VERppa,smr,valoir,DMF,valoir,,</l>,
44,9,5,8,"AlexAlb, l. 8",uanitas,vanitas,vAnitAS,v.a.n.i.t.a.s,.,lat,NOMcom,NOMcom,sfn,vanitas,wiktionary,,,</l></lg>,
181,35,2,34,"AlexAlb, l. 34",uasal,vasal,vAsAl,v.a.s.a.l,_,fro,NOMcom,NOMcom,smr,vassal,DMF,vassal,,,
308,57,3,56,"AlexAlb, l. 56",uirtud,virtud,virtyð,v.i.r.t.u.d,_,fro,NOMcom,NOMcom,sfr,vertu,DMF,vertu,,,
49,10,5,9,"AlexAlb, l. 9",uid,vid,viT,v.i.d,_,fro,VERcjg,VERcjg,indpsp3,voir,DMF,voir,,,
67,13,3,12,"AlexAlb, l. 12",uidist,vidist,viðiST,v.i.d.i.s.t,|,fro,VERcjg,VERcjg,subipf3,voir,DMF,voir,,,
183,35,4,34,"AlexAlb, l. 34",uid,vid,viT,v.i.d,_,fro,VERcjg,VERcjg,indpsp3,voir,DMF,voir,,,
430,77,3,76,"AlexAlb, l. 76",uey,vey,vEi,v.e.y,_,fro,VERcjg,VERcjg,indpst3,voir,DMF,voir,,,
524,94,4,93,"AlexAlb, l. 93",uicin,vicin,viʦin,v.i.c.i.n,.|,fro,NOMcom,NOMcom,smr,voisin,DMF,voisin,,</l></lg>,
436,78,4,77,"AlexAlb, l. 77",uolun|teyr,volunteyr,volONtEir,v.o.l.u.n.t.e.y.r,.,fro,ADVgen,ADVgen,---,volontiers,DMF,volontiers,,</l>,
374,67,4,66,"AlexAlb, l. 66",uult,vult,voLT,v.u.l.t,_,fro,NOMcom,NOMcom,smr,voult,DMF,voult,,,
136,26,2,25,"AlexAlb, l. 25",uos,vos,voS,v.o.s,_,fro,PRCper,PRCper,5pmr,vous,DMF,vous,,,
217,40,5,39,"AlexAlb, l. 39",uos,vos,voS,v.o.s,_,fro,PRCper,PRCper,5pmr,vous,DMF,vous,,,
209,39,5,38,"AlexAlb, l. 38",xerse[n],xersen,SErSEn,x.e.r.s.e.n,_,lat,NOMpro,NOMpro,smr,Xerxes,wiktionary,,,,
124,24,3,23,"AlexAlb, l. 23",i,i,i,i,+,fro,PRCadv,PRCadv,---,y2,DMF,y2,,,
301,56,2,55,"AlexAlb, l. 55",i,i,i,i,+,fro,PRCadv,PRCadv,---,y2,DMF,y2,,,
