syll.ix,line_id,value,form,elidable,mergeable,mergeable2,stress,lstress,has_onset,has_enclitic,is_final,is_monosyllable,is_syncopated,wd_id,all_wd_ids,in_word,in_line,metpos,onset,rhyme,onset_written,rhyme_written,words,cat
125,10,,QR/V\,n,n,n,n,y,y,,n,y,n,60,60,--,5,0511-,,,,,qui,sy
126,10,,N/V\Q,n,n,n,n,n,y,,n,n,n,61,61,--,6,0610-,,,,,nostrorum,sy
127,10,,QR/V\,n,n,n,y,y,y,,n,n,n,61,61,--,7,0709-,,,,,nostrorum,sy
128,10,,R/V\N,n,n,n,n,n,y,,y,n,n,61,61,--,8,0808c,,,,,nostrorum,sy
129,10,,QQ/V\,n,n,n,y,y,y,,n,n,n,62,62,--,9,0907-,,,,,scelerum,sy
130,10,,L/V\,n,n,n,n,n,y,,n,n,n,62,62,--,10,1006-,,,,,scelerum,sy
131,10,,R/V\N,n,n,n,y,y,y,,y,n,n,62,62,--,11,1105-,,,,,scelerum,sy
132,10,,Q/V\,n,n,n,n,n,y,,n,n,n,63,63,--,12,1204-,,,,,piacula,sy
133,10,,/V\,n,n,n,y,y,n,,n,n,n,63,63,--,13,1303-,,,,,piacula,sy
134,10,,Q/V\,n,n,n,n,n,y,,n,n,n,63,63,--,14,1402-,,,,,piacula,sy
135,10,,L/V\,n,n,n,y,y,y,,y,n,n,63,63,--,15,1501r,,,,,piacula,sy
136,11,,N/V\R,n,n,n,y,y,y,,n,n,n,64,64,--,1,0115-,,,,,morte,sy
137,11,,Q/V\,n,n,n,n,n,y,,y,n,n,64,64,--,2,0214-,,,,,morte,sy
138,11,,L/V\,n,n,n,y,y,y,,n,n,n,65,65,--,3,0313-,,,,,lavit,sy
139,11,,Q/V\Q,n,n,n,n,n,y,,y,n,n,65,65,--,4,0412-,,,,,lavit,sy
140,11,,/V\Q,n,n,n,y,y,n,,n,n,n,66,66,--,5,0511-,,,,,atque,sy
141,11,,QR/V\,n,n,n,n,n,y,,y,n,n,66,66,--,6,0610-,,,,,atque,sy
142,11,,QR/V\,n,n,n,y,y,y,,n,n,n,67,67,--,7,0709-,,,,,crucis,sy
143,11,,Q/V\Q,n,n,n,n,n,y,,y,n,n,67,67,--,8,0808c,,,,,crucis,sy
144,11,,Q/V\Q,n,n,n,y,y,y,,n,n,n,68,68,--,9,0907-,,,,,sustulit,sy
145,11,,Q/V\,n,n,n,n,n,y,,n,n,n,68,68,--,10,1006-,,,,,sustulit,sy
146,11,,L/V\Q,n,n,n,y,y,y,,y,n,n,68,68,--,11,1105-,,,,,sustulit,sy
147,11,,Q/V\,n,n,n,n,n,y,,n,n,n,69,69,--,12,1204-,,,,,patibula,sy
148,11,,Q/V\,n,n,n,y,y,y,,n,n,n,69,69,--,13,1303-,,,,,patibula,sy
149,11,,Q/V\,n,n,n,n,n,y,,n,n,n,69,69,--,14,1402-,,,,,patibula,sy
150,11,,L/V\,n,n,n,y,y,y,,y,n,n,69,69,--,15,1501r,,,,,patibula,sy
151,13,,/O\i,n,n,n,n,n,n,,n,n,n,71,71,--,1,0110-,,,,,oiet,sy
152,13,,/ɛ\T,n,n,n,y,y,n,,y,n,n,71,71,--,2,0209-,,,,,oiet,sy
153,13,,v/i\r,n,n,n,n,n,y,,n,n,n,72,72,--,3,0308-,,,,,virgines,sy
154,13,,ʤ/i\,n,n,n,y,y,y,,n,n,n,72,72,--,4,0407c,,,,,virgines,sy
155,13,,n/E\S,n,n,n,n,n,y,,y,n,n,72,72,--,el,----c,,,,,virgines,el
156,13,,/A\i,n,n,n,n,n,n,,n,n,n,73,73,--,5,0506-,,,,,aiso,sy
157,13,,s/ɔ\,n,n,n,y,y,y,,y,n,n,73,73,--,6,0605-,,,,,aiso,sy
158,13,,k/E\,y,n,n,n,y,y,,n,y,n,74,74,--,7,0704-,,,,,que,sy
