syll.ix,line_id,value,form,elidable,mergeable,mergeable2,stress,lstress,has_onset,has_enclitic,is_final,is_monosyllable,is_syncopated,wd_id,all_wd_ids,in_word,in_line,metpos,onset,rhyme,onset_written,rhyme_written,words,cat
120,17,,L/y\i,n,n,n,n,y,y,,n,y,n,89,89,--,2,0209-,,,,,lui,sy
121,17,,n/E\,y,n,n,n,y,y,,n,y,n,90,90,--,3,0308-,,,,,ne,sy
122,17,,p/uE\T,n,n,n,n,y,y,,n,y,n,91,91,--,4,0407c,,,,,pued,sy
123,17,,t/E\,n,n,n,n,n,y,,n,n,n,92,92,--,5,0506-,,,,,tenir,sy
124,17,,n/i\r,n,n,n,y,y,y,,y,n,n,92,92,--,6,0605-,,,,,tenir,sy
125,17,,n/y\,n,n,n,y,y,y,,n,n,n,93,93,--,7,0704-,,,,,nulle,sy
126,17,,l/V\,y,n,n,n,n,y,,y,n,n,93,93,--,8,0803-,,,,,nulle,sy
127,17,,kL/A\r,n,n,n,n,n,y,,n,n,n,94,94,--,9,0902-,,,,,clartez,sy
128,17,,t/æ\,n,n,n,y,y,y,,y,n,n,94,94,--,10,1001r,,,,,clartez,sy
129,18,,t/A\NT,n,n,n,n,y,y,,n,y,n,95,95,--,1,0104-,,,,,tant,sy
130,18,,p/a\r,n,n,n,n,y,y,,n,y,n,96,96,--,2,0203-,,,,,par,sy
131,18,,/ɛ\ST,n,n,n,n,y,n,,n,y,n,97,97,--,3,0302-,,,,,est,sy
132,18,,b/ɛ\LS,n,n,n,n,y,y,,n,y,n,98,98,--,4,0401r,,,,,belsz,sy
133,19,,bL/A\NS,n,n,n,n,y,y,,n,y,n,99,99,--,1,0110-,,,,,blans,sy
134,19,,/ɛ\ST,n,n,n,n,y,n,,n,y,n,100,100,--,2,0209-,,,,,est,sy
135,19,,/e\,n,n,n,n,y,n,,n,y,n,101,101,--,3,0308-,,,,,et,sy
136,19,,r/o\,n,n,n,y,y,y,,n,n,n,102,102,--,4,0407c,,,,,roges,sy
137,19,,ʤ/V\S,n,n,n,n,n,y,,y,n,n,102,102,--,el,----c,,,,,roges,el
138,19,,pL/y\S,n,n,n,n,y,y,,n,y,n,103,103,--,5,0506-,,,,,plus,sy
139,19,,k/E\,y,n,n,n,y,y,,n,y,n,104,104,--,6,0605-,,,,,que,sy
140,19,,ʤ/ɔ\,n,n,n,n,y,y,,n,y,n,105,105,--,7,0704-,,,,,jo,sy
